cluster_1,,Other,Other,Other,Other,basal,basal,basal,basal,fibroblasts,fibroblasts,fibroblasts,fibroblasts,luminal,luminal,luminal,luminal
SEMA7A,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS1,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS2,ITGB1,0,0,0,0,0,0,0,0,0,0,0.2855813503265381,0,0,0,0,0
VWF,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCAM1,ITGB1,0,0,0,0,0,0,0,0,0,0,0.38095250725746155,0,0,0,0,0
VCAN,ITGB1,0,0,0,0,0,0,0,0,0,0,0.2546365559101105,0,0,0,0,0
LGALS1,ITGB1,0,0,0.13751134276390076,0,0,0,0,0,0,0,0.6224162578582764,0,0,0,0,0
LAMB1,ITGB1,0,0,0,0,0,0,0,0,0,0,0.4690357446670532,0,0,0,0,0
LAMA4,ITGB1,0,0,0,0,0,0,0,0,0,0,0.357164591550827,0,0,0,0,0
LAMC2,ITGB1,0,0,0,0,0,0,0.14709872007369995,0,0,0,0,0,0,0,0,0
NID1,ITGB1,0,0,0,0,0,0,0,0,0,0,0.6651307344436646,0,0,0,0,0
TNC,ITGB1,0,0,0,0,0,0,0,0,0,0,0.321783185005188,0,0,0,0,0
LUM,ITGB1,0,0,0,0,0,0,0,0,0,0,1.4450808763504028,0,0,0,0,0
TFF2,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFF1,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL6A3,ITGB1,0,0,0,0,0,0,0,0,0,0,0.6093612313270569,0,0,0,0,0
LAMA3,ITGB1,0,0,0,0,0,0,0.35701993107795715,0,0,0,0,0,0,0,0,0
FBLN1,ITGB1,0,0,0,0,0,0,0,0,0,0,0.722104549407959,0,0,0,0,0
ICAM4,ITGB1,0,0,0,0,0,0,0,0,0,0,0.13291186094284058,0,0,0,0,0
LAMC3,ITGB1,0,0,0,0,0,0,0,0,0,0,0.7153766751289368,0,0,0,0,0
SPP1,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA2,ITGB1,0,0,0,0,0,0,0,0,0,0,0.9031234383583069,0,0,0,0,0
CHAD,ITGB1,0,0,0.1371026337146759,0,0,0,0,0,0,0,0,0,0,0,0,0
SPON2,ITGB1,0,0,0,0,0,0,1.1967302560806274,0,0,0,0.2519853115081787,0,0,0,0,0
COL6A6,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS4,ITGB1,0,0,0,0,0,0,0,0,0,0,0.40960630774497986,0,0,0,0,0
WISP1,ITGB1,0,0,0,0,0,0,0,0,0,0,0.2531542181968689,0,0,0,0,0
CSF3,PLAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1B,PLAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNG1,PLAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTN,PLAUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLC1,FCGR2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD80,CD3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL12B,CD3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF1,APP,0,0,0,0,0,0,0,0,0,0.9607183337211609,1.038543701171875,1.0628747940063477,0,0,0,0
CD40LG,APP,0,0.09220290184020996,0.17002828419208527,0.19435934722423553,0,0,0,0,0,0,0,0,0,0,0,0
IAPP,APP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05654643476009369,0.134371817111969,0.15870288014411926
IL18,APP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07689591497182846,0.15472128987312317,0.17905235290527344
APOE,APP,0,0,0,0,0,0.5853672027587891,0.6631925702095032,0.6875236630439758,0,0.2522745132446289,0.330099880695343,0.3544309735298157,0,0,0,0
SPON1,APP,0,0,0,0,0,0,0,0,0,0.16397371888160706,0.24179910123348236,0.26613014936447144,0,0,0,0
KDR,PECAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF1,PDGFRB,0,0,0,0,0,0,0,0,0,0,1.3762633800506592,0,0,0,0,0
KIT,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGF,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.307465672492981,0
NGF,PDGFRB,0,0,0,0,0,0,0,0,0,0,0.5692618489265442,0,0,0,0,0
CSF1,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,PDGFRB,0,0,0,0,0,0,0.7128273844718933,0,0,0,0.5036355257034302,0,0,0,0,0
AREG,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,PDGFRB,0,0,0,0,0,0,1.1591366529464722,0,0,0,0,0,0,0,0,0
PDGFB,PDGFRB,0,0,0.5088245868682861,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,PDGFRB,0,0,0,0,0,0,0,0,0,0,0.4622996747493744,0,0,0,0,0
ANGPT1,PDGFRB,0,0,0,0,0,0,0,0,0,0,0.6295321583747864,0,0,0,0,0
ANGPT4,PDGFRB,0,0,0,0,0,0,0,0,0,0,0.5702526569366455,0,0,0,0,0
BDNF,PDGFRB,0,0,0,0,0,0,0,0,0,0,0.46792763471603394,0,0,0,0,0
EREG,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,PDGFRB,0,0,0,0,0,0,0,0,0,0,0.7551792860031128,0,0,0,0,0
FGF5,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,PDGFRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,PDGFRB,0,0,0,0,0,0,0.7501848340034485,0,0,0,0.736808180809021,0,0,0,0,0
MFGE8,PDGFRB,0,0,0,0,0,0,0.4672533869743347,0,0,0,0.8822348117828369,0,0,0,0,0
CD80,CD28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2,CD28,0.13082543015480042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL12A,CD28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8A,CD28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD80,CD3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZMA,F2R,0.6953556537628174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRSS2,F2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF1,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGF,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGF,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF1,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AREG,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFB,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT1,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT4,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EREG,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF5,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,KIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAA1,CD36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS1,CD36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS2,CD36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100A8,CD36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100A9,CD36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS4,CD36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIT,CSF2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF3,CSF2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF2,CSF2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL5,CSF2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDR,CSF2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSLP,IL7R,0,0,0,0,0,0,0,0,0.383850634098053,0,0,0,0.2767888009548187,0,0,0
IL7,IL7R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,IL2RB,0,0,0,0,0,0,0,0,0.7271872162818909,0,0,0,0,0,0,0
IL2,IL2RB,0.3701889216899872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1RN,IL2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8A,IL2RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF1,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL6,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGF,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGF,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF1,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AREG,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFB,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT1,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT4,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLT4,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EREG,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTHLH,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTN,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF5,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREM1,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRP1,KDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDK,PTPRZ1,0,0,0,0,0,0,0,0,0,0,0,0.4834374785423279,0,0,0,0
PTN,PTPRZ1,0,0,0,0,0,0,0,0,0,0,0,0.6087391972541809,0,0,0,0
L1CAM,PTPRZ1,0,0,0,0.10381070524454117,0,0,0,0,0,0,0,0,0,0,0,0
TNC,PTPRZ1,0,0,0,0,0,0,0,0,0,0,0,0.32173609733581543,0,0,0,0
HGF,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNF,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBEGF,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGALS9,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCAN,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMB1,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA4,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMC2,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL6A3,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA3,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMC3,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPP1,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA2,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRG4,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL6A5,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL6A6,CD44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RELN,ITGB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTN,ITGB6,0,0,0,0,0,0,0,0,0,0.9222411513328552,0,0,0,0,0,0
THBS1,ITGB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS2,ITGB6,0,0,0,0,0,0,0,0,0,0.2881428003311157,0,0,0,0,0,0
VWF,ITGB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMB1,ITGB6,0,0,0,0,0,0,0,0,0,0.47159719467163086,0,0,0,0,0,0
LAMA4,ITGB6,0,0,0,0,0,0,0,0,0,0.35972604155540466,0,0,0,0,0,0
LAMC2,ITGB6,0,0,0,0,0,0.14966018497943878,0,0,0,0,0,0,0,0,0,0
TNC,ITGB6,0,0,0,0,0,0,0,0,0,0.3243446350097656,0,0,0,0,0,0
COL6A3,ITGB6,0,0,0,0,0,0,0,0,0,0.6119226813316345,0,0,0,0,0,0
LAMA3,ITGB6,0,0,0,0,0,0.3595813810825348,0,0,0,0,0,0,0,0,0,0
LAMC3,ITGB6,0,0,0,0,0,0,0,0,0,0.7179381251335144,0,0,0,0,0,0
SPP1,ITGB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA2,ITGB6,0,0,0,0,0,0,0,0,0,0.9056848883628845,0,0,0,0,0,0
CHAD,ITGB6,0,0.13966409862041473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL6A6,ITGB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS4,ITGB6,0,0,0,0,0,0,0,0,0,0.4121677577495575,0,0,0,0,0,0
IGF1,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGF,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGF,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF1,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AREG,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFB,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFNB3,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT1,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT4,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EREG,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF5,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF1,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGF,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGF,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF1,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNF,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AREG,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFB,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT1,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT4,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EREG,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF5,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,EPHA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLN1,ITGB5,0,0,0.20022249221801758,0,0,0,0,0,0,0,0,0,0,0,0,0
RELN,ITGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTN,ITGB5,0,0,0,0,0,0,0,0,0,0,0.9412522315979004,0,0,0,0,0
THBS1,ITGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS2,ITGB5,0,0,0,0,0,0,0,0,0,0,0.3071538805961609,0,0,0,0,0
VWF,ITGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMB1,ITGB5,0,0,0,0,0,0,0,0,0,0,0.490608274936676,0,0,0,0,0
LAMA4,ITGB5,0,0,0,0,0,0,0,0,0,0,0.37873712182044983,0,0,0,0,0
LAMC2,ITGB5,0,0,0,0,0,0,0.16867126524448395,0,0,0,0,0,0,0,0,0
TNC,ITGB5,0,0,0,0,0,0,0,0,0,0,0.3433557152748108,0,0,0,0,0
COL6A3,ITGB5,0,0,0,0,0,0,0,0,0,0,0.6309337615966797,0,0,0,0,0
LAMA3,ITGB5,0,0,0,0,0,0,0.37859246134757996,0,0,0,0,0,0,0,0,0
LAMC3,ITGB5,0,0,0,0,0,0,0,0,0,0,0.7369492053985596,0,0,0,0,0
SPP1,ITGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYR61,ITGB5,0,0,0,0,0,0,0.5106890797615051,0,0,0,0.1514642834663391,0,0,0,0,0
LAMA2,ITGB5,0,0,0,0,0,0,0,0,0,0,0.9246959686279297,0,0,0,0,0
EDIL3,ITGB5,0,0,0,0,0,0,0,0,0,0,0.095582976937294,0,0,0,0,0
CHAD,ITGB5,0,0,0.1586751788854599,0,0,0,0,0,0,0,0,0,0,0,0,0
COL6A6,ITGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS4,ITGB5,0,0,0,0,0,0,0,0,0,0,0.43117883801460266,0,0,0,0,0
IGF1,FGFR1,0,0,0,0,0,0,0,0,0,1.008980393409729,1.201375961303711,0,0,0,0,0
EGF,FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940182626247406,1.1325782537460327,0
NGF,FGFR1,0,0,0,0,0,0,0,0,0,0.20197880268096924,0.39437437057495117,0,0,0,0,0
CSF1,FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,FGFR1,0,0,0,0,0,0.34554436802864075,0.5379399061203003,0,0,0.13635247945785522,0.32874804735183716,0,0,0,0,0
AREG,FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,FGFR1,0,0,0,0,0,0.7918536067008972,0.9842492341995239,0,0,0,0,0,0,0,0,0
PDGFB,FGFR1,0,0.14154158532619476,0.3339371681213379,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,FGFR1,0,0,0,0,0,0,0,0,0,0.09501664340496063,0.28741222620010376,0,0,0,0,0
ANGPT1,FGFR1,0,0,0,0,0,0,0,0,0,0.2622491419315338,0.45464470982551575,0,0,0,0,0
ANGPT4,FGFR1,0,0,0,0,0,0,0,0,0,0.20296961069107056,0.3953651785850525,0,0,0,0,0
BDNF,FGFR1,0,0,0,0,0,0,0,0,0,0.10064460337162018,0.2930401861667633,0,0,0,0,0
EREG,FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,FGFR1,0,0,0,0,0,0,0,0,0,0.3878962993621826,0.5802918672561646,0,0,0,0,0
FGF5,FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,FGFR1,0,0,0,0,0,0.3829018175601959,0.5752973556518555,0,0,0.3695251941680908,0.5619207620620728,0,0,0,0,0
IGF1,FGFR4,0,0,0,0,0,0,0,0,0,0,0.987802267074585,0,0,0,0,0
EGF,FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9190045595169067,0
NGF,FGFR4,0,0,0,0,0,0,0,0,0,0,0.18080070614814758,0,0,0,0,0
CSF1,FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,FGFR4,0,0,0,0,0,0,0.3243662416934967,0,0,0,0.11517437547445297,0,0,0,0,0
AREG,FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,FGFR4,0,0,0,0,0,0,0.770675539970398,0,0,0,0,0,0,0,0,0
PDGFB,FGFR4,0,0,0.12036347389221191,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,FGFR4,0,0,0,0,0,0,0,0,0,0,0.07383853197097778,0,0,0,0,0
ANGPT1,FGFR4,0,0,0,0,0,0,0,0,0,0,0.24107101559638977,0,0,0,0,0
ANGPT4,FGFR4,0,0,0,0,0,0,0,0,0,0,0.1817914843559265,0,0,0,0,0
BDNF,FGFR4,0,0,0,0,0,0,0,0,0,0,0.07946649193763733,0,0,0,0,0
EREG,FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,FGFR4,0,0,0,0,0,0,0,0,0,0,0.3667181730270386,0,0,0,0,0
FGF5,FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,FGFR4,0,0,0,0,0,0,0.3617236912250519,0,0,0,0.3483470678329468,0,0,0,0,0
PDGFA,FURIN,0,0,0,0,0.7403414845466614,0,0,0,0,0,0,0,0,0,0,0
IGF1,FLT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGF,FLT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGF,FLT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF1,FLT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
