cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
TLN1,ITGB1,0.32388362288475037,0.22024725377559662,0.49408572912216187,0.6177293062210083,0.5140929222106934,0.7879314422607422,0.4749872088432312,0.37135082483291626,0.6451893448829651
CSF2,ITGB1,0,0,0,0,0,0,0,0,0
HGF,ITGB1,0,0,0,0,0,0,0.803159773349762,0.699523389339447,0.9733618497848511
ANGPT1,ITGB1,0.36119499802589417,0.2575586140155792,0.5313971042633057,0,0,0,0.7689787745475769,0.665342390537262,0.939180850982666
MDK,ITGB1,0,0,0,0,0,0,0.7505788803100586,0.6469424962997437,0.9207810163497925
FLT4,ITGB1,0,0,0,0.423766553401947,0.3201301693916321,0.5939686894416809,0,0,0
CXCL12,ITGB1,0,0,0,0.3235040307044983,0.21986764669418335,0.4937061369419098,0.8207195997238159,0.717083215713501,0.990921676158905
VEGFD,ITGB1,0,0,0,0,0,0,0.6243634223937988,0.5207270383834839,0.7945655584335327
RELN,ITGB1,0,0,0,0.34090667963027954,0.2372702956199646,0.5111087560653687,0.3491310775279999,0.24549469351768494,0.5193331837654114
VTN,ITGB1,0,0,0,0,0,0,0.6593098640441895,0.5556734800338745,0.8295120000839233
SEMA7A,ITGB1,0,0,0,0.4064878523349762,0.30285146832466125,0.5766899585723877,0,0,0
THBS1,ITGB1,0.5822181701660156,0.4785817563533783,0.7524202466011047,0,0,0,0.5826053023338318,0.47896891832351685,0.7528073787689209
THBS2,ITGB1,0,0,0,0,0,0,0.3907231390476227,0.28708675503730774,0.5609252452850342
VWF,ITGB1,0,0,0,0.5662571787834167,0.4626207947731018,0.7364592552185059,0,0,0
VCAM1,ITGB1,0,0,0,0.4167520999908447,0.3131157159805298,0.5869542360305786,0.7428144216537476,0.6391780376434326,0.9130164980888367
VCAN,ITGB1,0,0,0,0,0,0,1.1485600471496582,1.0449236631393433,1.3187620639801025
LGALS1,ITGB1,0,0,0,0,0,0,0.7526075839996338,0.6489711999893188,0.9228097200393677
LAMB1,ITGB1,0,0,0,0,0,0,1.1220592260360718,1.0184228420257568,1.2922613620758057
LAMA4,ITGB1,0,0,0,0.3356932997703552,0.2320569008588791,0.5058953762054443,0.8574191331863403,0.7537827491760254,1.0276212692260742
LAMC2,ITGB1,1.2045996189117432,1.1009632349014282,1.374801754951477,0,0,0,0,0,0
NID1,ITGB1,0,0,0,0,0,0,1.157210350036621,1.0535739660263062,1.327412486076355
TNC,ITGB1,0,0,0,0,0,0,0.38243013620376587,0.2787937521934509,0.5526322722434998
LUM,ITGB1,0,0,0,0,0,0,1.0562011003494263,0.9525647163391113,1.2264032363891602
TFF2,ITGB1,0,0,0,0,0,0,0,0,0
TFF1,ITGB1,0,0,0,0,0,0,0,0,0
COL6A3,ITGB1,0,0,0,0,0,0,0.844679594039917,0.741043210029602,1.0148817300796509
LAMA3,ITGB1,0.6859702467918396,0.5823338627815247,0.8561723232269287,0,0,0,0,0,0
FBLN1,ITGB1,0,0,0,0,0,0,0.9427990913391113,0.8391627073287964,1.1130012273788452
ICAM4,ITGB1,0,0,0,0,0,0,0,0,0
LAMC3,ITGB1,0,0,0,0,0,0,1.4035091400146484,1.2998727560043335,1.5737112760543823
SPP1,ITGB1,0,0,0,0,0,0,0,0,0
LAMA2,ITGB1,0,0,0,0,0,0,1.9324052333831787,1.8287688493728638,2.102607250213623
CHAD,ITGB1,0.31446826457977295,0.210831880569458,0.48467037081718445,0,0,0,0,0,0
SPON2,ITGB1,0.3373861312866211,0.23374974727630615,0.5075882077217102,0,0,0,0.33244389295578003,0.2288075089454651,0.5026460289955139
COL6A6,ITGB1,0,0,0,0,0,0,0.5052424669265747,0.40160608291625977,0.6754445433616638
THBS4,ITGB1,0,0,0,0,0,0,0.346711665391922,0.24307528138160706,0.5169137716293335
WISP1,ITGB1,0,0,0,0,0,0,0.5395061373710632,0.4358697533607483,0.7097082138061523
CSF3,PLAUR,0,0,0,0.29170092940330505,0,0,0,0,0
IL1B,PLAUR,0,0,0,0,0,0,0,0,0
KNG1,PLAUR,0,0,0,0,0,0,0,0,0
VTN,PLAUR,0,0,0,0,0,0,0.6141723990440369,0,0
IGLC1,FCGR2B,0,0,0,0,0,0,0,0,0
CD80,CD3E,0,0,0,0,0,0,0,0,0
IL12B,CD3E,0,0,0,0,0,0,0,0,0
IGF1,APP,0,0,0,0,0,0,0.9359911680221558,0,0.8944873213768005
CD40LG,APP,0,0,0,0.3953806757926941,0,0.35387688875198364,0,0,0
IAPP,APP,0.37009909749031067,0,0.32859528064727783,0,0,0,0.3694946765899658,0,0.327990859746933
IL18,APP,0.4412991404533386,0,0.3997953236103058,0,0,0,0.5569030046463013,0,0.515399158000946
APOE,APP,0.638843297958374,0,0.5973395109176636,0,0,0,0.35413989424705505,0,0.3126360774040222
SPON1,APP,0,0,0,0,0,0,0.8382428884506226,0,0.7967391014099121
KDR,PECAM1,0,0,0,0,0.6103472709655762,0,0,0.4459487497806549,0
IGF1,PDGFRB,0,0,0,0,0,0,0,0,1.2274127006530762
KIT,PDGFRB,0,0,0,0,0,0.6809871792793274,0,0,0
EGF,PDGFRB,0,0,1.0209996700286865,0,0,0,0,0,0
NGF,PDGFRB,0,0,0,0,0,0,0,0,0.8305789232254028
CSF1,PDGFRB,0,0,0,0,0,0,0,0,0.8897653818130493
HGF,PDGFRB,0,0,0,0,0,0,0,0,1.1392099857330322
AREG,PDGFRB,0,0,0,0,0,0,0,0,0
PDGFA,PDGFRB,0,0,0.9243883490562439,0,0,0,0,0,0.7189542055130005
PDGFB,PDGFRB,0,0,0,0,0,0.7117315530776978,0,0,0
ANGPT2,PDGFRB,0,0,0,0,0,0.666615903377533,0,0,0.7241122722625732
ANGPT1,PDGFRB,0,0,0.6972452402114868,0,0,0,0,0,1.1050289869308472
ANGPT4,PDGFRB,0,0,0,0,0,0,0,0,1.091810703277588
BDNF,PDGFRB,0,0,0,0,0,0,0,0,0.6989202499389648
EREG,PDGFRB,0,0,0,0,0,0,0,0,0
VEGFD,PDGFRB,0,0,0,0,0,0,0,0,0.9604136943817139
FGF5,PDGFRB,0,0,0,0,0,0,0,0,0
FGF23,PDGFRB,0,0,0,0,0,0,0,0,0.6662144064903259
PGF,PDGFRB,0,0,0,0,0,0,0,0,0.9066998362541199
MFGE8,PDGFRB,0,0,0,0,0,0,0,0,1.3151156902313232
CD80,CD28,0,0,0,0,0,0,0,0,0
IL2,CD28,0,0,0,0,0.22293153405189514,0,0,0,0
IL12A,CD28,0,0,0,0,0,0,0,0,0
CD8A,CD28,0,0,0,0,0.25003308057785034,0,0,0,0
CD80,CD3G,0,0,0,0,0,0,0,0,0
GZMA,F2R,0,0,0,0,0.08357925713062286,0.3936752676963806,0,0,0
PRSS2,F2R,0,0,0,0,0.06910751014947891,0.3792034983634949,0,0,0
IGF1,KIT,0,0,0,0,0,0,0,0.6190847158432007,0
EGF,KIT,0,0.41267168521881104,0,0,0,0,0,0,0
NGF,KIT,0,0,0,0,0,0,0,0.22225084900856018,0
CSF1,KIT,0,0,0,0,0,0,0,0.28143733739852905,0
HGF,KIT,0,0,0,0,0,0,0,0.530881941318512,0
AREG,KIT,0,0,0,0,0,0,0,0,0
PDGFA,KIT,0,0.31606030464172363,0,0,0,0,0,0.11062616109848022,0
PDGFB,KIT,0,0,0,0,0.1034034788608551,0,0,0,0
ANGPT2,KIT,0,0,0,0,0.0582878515124321,0,0,0.11578422784805298,0
ANGPT1,KIT,0,0.08891718089580536,0,0,0,0,0,0.4967009723186493,0
ANGPT4,KIT,0,0,0,0,0,0,0,0.4834826588630676,0
BDNF,KIT,0,0,0,0,0,0,0,0.09059219062328339,0
EREG,KIT,0,0,0,0,0,0,0,0,0
VEGFD,KIT,0,0,0,0,0,0,0,0.3520856201648712,0
FGF5,KIT,0,0,0,0,0,0,0,0,0
FGF23,KIT,0,0,0,0,0,0,0,0.05788634344935417,0
PGF,KIT,0,0,0,0,0,0,0,0.2983717918395996,0
SAA1,CD36,0,0,0,0,0,0,0,0,0
THBS1,CD36,0,0.4476867616176605,0,0,0,0,0,0.4480739235877991,0
THBS2,CD36,0,0,0,0,0,0,0,0.25619176030158997,0
S100A8,CD36,0,0,0,0,0,0,0,0,0
S100A9,CD36,0,0,0,0,0,0,0,0,0
THBS4,CD36,0,0,0,0,0,0,0,0.21218028664588928,0
KIT,CSF2RB,0,0,0,0,0,0,0,0,0
CSF3,CSF2RB,0,0,0,0,0,0,0,0,0
CSF2,CSF2RB,0,0,0,0,0,0,0,0,0
IL5,CSF2RB,0,0,0,0,0,0,0,0,0
KDR,CSF2RB,0,0,0,0,0,0,0,0,0
TSLP,IL7R,0,0,0,0,0,0,0,0.4050198197364807,0
IL7,IL7R,0,0.42728182673454285,0,0,0,0,0,0.4395410716533661,0
IL6,IL2RB,0,0,0,0,0.2621941864490509,0,0,0.8207879066467285,0
IL2,IL2RB,0,0,0,0,0.25652703642845154,0,0,0,0
IL1RN,IL2RB,0,0,0,0,0,0,0,0,0
CD8A,IL2RB,0,0,0,0,0.28362858295440674,0,0,0,0
IGF1,KDR,0,0,0,0,0,0,0,0.8369297981262207,0.672531247138977
IL6,KDR,0,0,0,0,0.26691389083862305,0.10251534730195999,0,0.8255075812339783,0.6611090302467346
EGF,KDR,0,0.630516767501831,0.4661182165145874,0,0,0,0,0,0
NGF,KDR,0,0,0,0,0,0,0,0.4400959312915802,0.27569738030433655
CSF1,KDR,0,0,0,0,0,0,0,0.4992824196815491,0.3348838984966278
HGF,KDR,0,0,0,0,0,0,0,0.7487270832061768,0.5843285322189331
AREG,KDR,0,0,0,0,0,0,0,0,0
PDGFA,KDR,0,0.5339053869247437,0.3695068359375,0,0,0,0,0.32847124338150024,0.1640726923942566
PDGFB,KDR,0,0,0,0,0.3212485611438751,0.15685002505779266,0,0,0
ANGPT2,KDR,0,0,0,0,0.2761329412460327,0.11173439770936966,0,0.333629310131073,0.16923075914382935
ANGPT1,KDR,0,0.3067622780799866,0.14236372709274292,0,0,0,0,0.7145460844039917,0.550147533416748
ANGPT4,KDR,0,0,0,0,0,0,0,0.7013277411460876,0.536929190158844
FLT4,KDR,0,0,0,0,0.3693338632583618,0.20493531227111816,0,0,0
BDNF,KDR,0,0,0,0,0,0,0,0.3084372878074646,0.14403873682022095
EREG,KDR,0,0,0,0,0,0,0,0,0
VEGFD,KDR,0,0,0,0,0,0,0,0.5699306726455688,0.4055321514606476
PTHLH,KDR,0,0,0,0,0.26511192321777344,0.10071337968111038,0,0,0
VTN,KDR,0,0,0,0,0,0,0,0.6048771739006042,0.4404786229133606
FGF5,KDR,0,0,0,0,0,0,0,0,0
FGF23,KDR,0,0,0,0,0,0,0,0.2757314443588257,0.11133288592100143
PGF,KDR,0,0,0,0,0,0,0,0.5162168741226196,0.351818323135376
GREM1,KDR,0,0,0,0,0,0,0,0,0
NRP1,KDR,0,0,0,0,0.41448813676834106,0.2500895857810974,0,0.8773831129074097,0.712984561920166
MDK,PTPRZ1,0,0,0,0,0,0,0.5956334471702576,0,0
PTN,PTPRZ1,0,0,0,0.16541770100593567,0,0,1.2266908884048462,0,0
L1CAM,PTPRZ1,0,0,0,0.23578990995883942,0,0,0,0,0
TNC,PTPRZ1,0,0,0,0,0,0,0.22748473286628723,0,0
HGF,CD44,0,0,0,0,0,0,0,0,0
TNF,CD44,0,0,0,0,0,0,0,0,0
HBEGF,CD44,0,0,0,0,0,0,0,0,0
LGALS9,CD44,0,0,0,0,0,0,0,0,0
VCAN,CD44,0,0,0,0,0,0,0,0,0
LAMB1,CD44,0,0,0,0,0,0,0,0,0
LAMA4,CD44,0,0,0,0,0,0,0,0,0
LAMC2,CD44,0,0,0,0,0,0,0,0,0
COL6A3,CD44,0,0,0,0,0,0,0,0,0
LAMA3,CD44,0,0,0,0,0,0,0,0,0
LAMC3,CD44,0,0,0,0,0,0,0,0,0
SPP1,CD44,0,0,0,0,0,0,0,0,0
LAMA2,CD44,0,0,0,0,0,0,0,0,0
PRG4,CD44,0,0,0,0,0,0,0,0,0
COL6A5,CD44,0,0,0,0,0,0,0,0,0
COL6A6,CD44,0,0,0,0,0,0,0,0,0
RELN,ITGB6,0,0,0,0.6692119836807251,0,0,0.6774364113807678,0,0
VTN,ITGB6,0,0,0,0,0,0,0.9876152276992798,0,0
THBS1,ITGB6,0.9105234742164612,0,0,0,0,0,0.9109106063842773,0,0
THBS2,ITGB6,0,0,0,0,0,0,0.7190284729003906,0,0
VWF,ITGB6,0,0,0,0.8945624828338623,0,0,0,0,0
LAMB1,ITGB6,0,0,0,0,0,0,1.450364589691162,0,0
LAMA4,ITGB6,0,0,0,0.6639986038208008,0,0,1.1857244968414307,0,0
LAMC2,ITGB6,1.5329049825668335,0,0,0,0,0,0,0,0
TNC,ITGB6,0,0,0,0,0,0,0.7107354998588562,0,0
COL6A3,ITGB6,0,0,0,0,0,0,1.1729849576950073,0,0
LAMA3,ITGB6,1.0142755508422852,0,0,0,0,0,0,0,0
LAMC3,ITGB6,0,0,0,0,0,0,1.7318145036697388,0,0
SPP1,ITGB6,0,0,0,0,0,0,0,0,0
LAMA2,ITGB6,0,0,0,0,0,0,2.2607107162475586,0,0
CHAD,ITGB6,0.6427735686302185,0,0,0,0,0,0,0,0
COL6A6,ITGB6,0,0,0,0,0,0,0.8335477709770203,0,0
THBS4,ITGB6,0,0,0,0,0,0,0.6750169992446899,0,0
IGF1,EPHB1,0,0,0,0,0,0,0.6701260209083557,0,0
EGF,EPHB1,0.46371299028396606,0,0,0,0,0,0,0,0
NGF,EPHB1,0,0,0,0,0,0,0.2732921838760376,0,0
CSF1,EPHB1,0,0,0,0,0,0,0.33247867226600647,0,0
HGF,EPHB1,0,0,0,0,0,0,0.5819233059883118,0,0
AREG,EPHB1,0,0,0,0,0,0,0,0,0
PDGFA,EPHB1,0.36710160970687866,0,0,0,0,0,0.16166748106479645,0,0
PDGFB,EPHB1,0,0,0,0.15444481372833252,0,0,0,0,0
EFNB3,EPHB1,0.09731461852788925,0,0,0,0,0,0.18978673219680786,0,0
ANGPT2,EPHB1,0,0,0,0.10932917892932892,0,0,0.1668255478143692,0,0
ANGPT1,EPHB1,0.13995850086212158,0,0,0,0,0,0.5477423071861267,0,0
ANGPT4,EPHB1,0,0,0,0,0,0,0.5345239639282227,0,0
BDNF,EPHB1,0,0,0,0,0,0,0.1416335105895996,0,0
EREG,EPHB1,0,0,0,0,0,0,0,0,0
VEGFD,EPHB1,0,0,0,0,0,0,0.40312695503234863,0,0
FGF5,EPHB1,0,0,0,0,0,0,0,0,0
FGF23,EPHB1,0,0,0,0,0,0,0.1089276671409607,0,0
PGF,EPHB1,0,0,0,0,0,0,0.34941309690475464,0,0
IGF1,EPHA2,0,0,0,0,0,0,1.014758825302124,0,0
EGF,EPHA2,0.8083458542823792,0,0,0,0,0,0,0,0
NGF,EPHA2,0,0,0,0,0,0,0.6179250478744507,0,0
CSF1,EPHA2,0,0,0,0,0,0,0.6771115064620972,0,0
HGF,EPHA2,0,0,0,0,0,0,0.9265561103820801,0,0
TNF,EPHA2,0,0,0,0,0,0,0,0,0
AREG,EPHA2,0,0,0,0,0,0,0,0,0
PDGFA,EPHA2,0.7117344737052917,0,0,0,0,0,0.5063003301620483,0,0
PDGFB,EPHA2,0,0,0,0.4990776479244232,0,0,0,0,0
ANGPT2,EPHA2,0,0,0,0.4539620280265808,0,0,0.5114583969116211,0,0
ANGPT1,EPHA2,0.48459136486053467,0,0,0,0,0,0.892375111579895,0,0
ANGPT4,EPHA2,0,0,0,0,0,0,0.8791568279266357,0,0
BDNF,EPHA2,0,0,0,0,0,0,0.4862663745880127,0,0
EREG,EPHA2,0,0,0,0,0,0,0,0,0
VEGFD,EPHA2,0,0,0,0,0,0,0.7477598190307617,0,0
FGF5,EPHA2,0,0,0,0,0,0,0,0,0
FGF23,EPHA2,0,0,0,0,0,0,0.4535605311393738,0,0
PGF,EPHA2,0,0,0,0,0,0,0.6940459609031677,0,0
TLN1,ITGB5,0,0,0.1062828004360199,0,0,0.40012848377227783,0,0,0.25738638639450073
RELN,ITGB5,0,0,0,0,0,0.12330584228038788,0,0,0.1315302550792694
VTN,ITGB5,0,0,0,0,0,0,0,0,0.441709041595459
THBS1,ITGB5,0,0,0.3646172881126404,0,0,0,0,0,0.3650044798851013
THBS2,ITGB5,0,0,0,0,0,0,0,0,0.1731223165988922
VWF,ITGB5,0,0,0,0,0,0.3486563563346863,0,0,0
LAMB1,ITGB5,0,0,0,0,0,0,0,0,0.9044584035873413
LAMA4,ITGB5,0,0,0,0,0,0.11809244751930237,0,0,0.6398183107376099
LAMC2,ITGB5,0,0,0.9869987964630127,0,0,0,0,0,0
TNC,ITGB5,0,0,0,0,0,0,0,0,0.1648293137550354
COL6A3,ITGB5,0,0,0,0,0,0,0,0,0.6270787715911865
LAMA3,ITGB5,0,0,0.46836942434310913,0,0,0,0,0,0
LAMC3,ITGB5,0,0,0,0,0,0,0,0,1.185908317565918
SPP1,ITGB5,0,0,0,0,0,0,0,0,0
CYR61,ITGB5,0,0,0.683628261089325,0,0,0,0,0,0.33437564969062805
LAMA2,ITGB5,0,0,0,0,0,0,0,0,1.7148044109344482
EDIL3,ITGB5,0,0,0,0,0,0,0,0,0
CHAD,ITGB5,0,0,0.09686742722988129,0,0,0,0,0,0
COL6A6,ITGB5,0,0,0,0,0,0,0,0,0.28764161467552185
THBS4,ITGB5,0,0,0,0,0,0,0,0,0.12911084294319153
IGF1,FGFR1,0,0,0,0,0,0,0.650408148765564,0,1.6692426204681396
EGF,FGFR1,0.4439951479434967,0,1.46282958984375,0,0,0,0,0,0
NGF,FGFR1,0,0,0,0,0,0,0.25357431173324585,0,1.2724087238311768
CSF1,FGFR1,0,0,0,0,0,0,0.3127608299255371,0,1.3315951824188232
HGF,FGFR1,0,0,0,0,0,0,0.56220543384552,0,1.5810397863388062
AREG,FGFR1,0,0,0,0,0,0,0,0,0
PDGFA,FGFR1,0.3473837673664093,0,1.366218090057373,0,0,0,0.1419496238231659,0,1.1607840061187744
PDGFB,FGFR1,0,0,0,0.13472694158554077,0,1.1535613536834717,0,0,0
ANGPT2,FGFR1,0,0,0,0.08961132168769836,0,1.108445644378662,0.14710769057273865,0,1.1659420728683472
ANGPT1,FGFR1,0.12024064362049103,0,1.1390750408172607,0,0,0,0.528024435043335,0,1.546858787536621
ANGPT4,FGFR1,0,0,0,0,0,0,0.5148061513900757,0,1.5336405038833618
BDNF,FGFR1,0,0,0,0,0,0,0.12191566079854965,0,1.1407500505447388
EREG,FGFR1,0,0,0,0,0,0,0,0,0
VEGFD,FGFR1,0,0,0,0,0,0,0.3834090828895569,0,1.4022434949874878
FGF5,FGFR1,0,0,0,0,0,0,0,0,0
FGF23,FGFR1,0,0,0,0,0,0,0.08920980989933014,0,1.108044147491455
PGF,FGFR1,0,0,0,0,0,0,0.3296952545642853,0,1.348529577255249
IGF1,FGFR4,0,0,0,0,0,0,0,0,0.72754967212677
EGF,FGFR4,0,0,0.5211366415023804,0,0,0,0,0,0
NGF,FGFR4,0,0,0,0,0,0,0,0,0.33071577548980713
CSF1,FGFR4,0,0,0,0,0,0,0,0,0.3899022936820984
HGF,FGFR4,0,0,0,0,0,0,0,0,0.6393468976020813
AREG,FGFR4,0,0,0,0,0,0,0,0,0
PDGFA,FGFR4,0,0,0.4245252311229706,0,0,0,0,0,0.21909108757972717
PDGFB,FGFR4,0,0,0,0,0,0.21186840534210205,0,0,0
ANGPT2,FGFR4,0,0,0,0,0,0.16675278544425964,0,0,0.22424915432929993
ANGPT1,FGFR4,0,0,0.1973821073770523,0,0,0,0,0,0.6051658987998962
ANGPT4,FGFR4,0,0,0,0,0,0,0,0,0.5919475555419922
BDNF,FGFR4,0,0,0,0,0,0,0,0,0.19905713200569153
EREG,FGFR4,0,0,0,0,0,0,0,0,0
VEGFD,FGFR4,0,0,0,0,0,0,0,0,0.46055054664611816
FGF5,FGFR4,0,0,0,0,0,0,0,0,0
FGF23,FGFR4,0,0,0,0,0,0,0,0,0.16635127365589142
PGF,FGFR4,0,0,0,0,0,0,0,0,0.40683671832084656
PDGFA,FURIN,0.290071964263916,0.29272931814193726,0,0,0,0,0.0846378281712532,0.08729515969753265,0
IGF1,FLT4,0,0,0,0,0,0,0,0.6979143619537354,0
EGF,FLT4,0,0.4915013313293457,0,0,0,0,0,0,0
NGF,FLT4,0,0,0,0,0,0,0,0.30108046531677246,0
CSF1,FLT4,0,0,0,0,0,0,0,0.3602669835090637,0
HGF,FLT4,0,0,0,0,0,0,0,0.6097115874290466,0
TNF,FLT4,0,0,0,0,0,0,0,0,0
AREG,FLT4,0,0,0,0,0,0,0,0,0
PDGFA,FLT4,0,0.3948899507522583,0,0,0,0,0,0.1894557923078537,0
PDGFB,FLT4,0,0,0,0,0.18223312497138977,0,0,0,0
ANGPT2,FLT4,0,0,0,0,0.13711749017238617,0,0,0.19461385905742645,0
ANGPT1,FLT4,0,0.16774681210517883,0,0,0,0,0,0.5755305886268616,0
ANGPT4,FLT4,0,0,0,0,0,0,0,0.5623123049736023,0
KDR,FLT4,0,0,0,0,0.3693338632583618,0,0,0.20493531227111816,0
BDNF,FLT4,0,0,0,0,0,0,0,0.16942182183265686,0
EREG,FLT4,0,0,0,0,0,0,0,0,0
VEGFD,FLT4,0,0,0,0,0,0,0,0.4309152364730835,0
VTN,FLT4,0,0,0,0,0,0,0,0.4658617377281189,0
FGF5,FLT4,0,0,0,0,0,0,0,0,0
FGF23,FLT4,0,0,0,0,0,0,0,0.13671597838401794,0
PGF,FLT4,0,0,0,0,0,0,0,0.3772014379501343,0
IL6,NOTCH3,0,0,0,0,0,0.5669092535972595,0,0,1.1255029439926147
DLL4,NOTCH3,0,0,0,0,0,0.704291582107544,0,0,0
THBS2,NOTCH3,0,0,0,0,0,0,0,0,0.6362857818603516
DLK1,NOTCH3,0,0,0,0,0,0,0,0,0.654179573059082
SCGB3A1,NOTCH3,0,0,0,0,0,0,0,0,0
IGF1,TIE1,0,0,0,0,0,0,0,0.9033048152923584,0
EGF,TIE1,0,0.6968917846679688,0,0,0,0,0,0,0
NGF,TIE1,0,0,0,0,0,0,0,0.5064709782600403,0
CSF1,TIE1,0,0,0,0,0,0,0,0.5656574964523315,0
HGF,TIE1,0,0,0,0,0,0,0,0.8151021003723145,0
AREG,TIE1,0,0,0,0,0,0,0,0,0
PDGFA,TIE1,0,0.6002804040908813,0,0,0,0,0,0.3948462903499603,0
PDGFB,TIE1,0,0,0,0,0.3876236081123352,0,0,0,0
ANGPT2,TIE1,0,0,0,0,0.3425079882144928,0,0,0.4000043570995331,0
ANGPT1,TIE1,0,0.37313732504844666,0,0,0,0,0,0.7809211015701294,0
ANGPT4,TIE1,0,0,0,0,0,0,0,0.7677028179168701,0
BDNF,TIE1,0,0,0,0,0,0,0,0.3748123347759247,0
EREG,TIE1,0,0,0,0,0,0,0,0,0
VEGFD,TIE1,0,0,0,0,0,0,0,0.6363057494163513,0
FGF5,TIE1,0,0,0,0,0,0,0,0,0
FGF23,TIE1,0,0,0,0,0,0,0,0.3421064615249634,0
PGF,TIE1,0,0,0,0,0,0,0,0.5825918912887573,0
ANGPTL4,TIE1,0,0,0,0,0,0,0,0.6314123868942261,0
IGF1,AXL,0,0,0,0,0,0,0.6043728590011597,0,1.0747326612472534
EGF,AXL,0.39795982837677,0,0.8683196306228638,0,0,0,0,0,0
NGF,AXL,0,0,0,0,0,0,0.20753899216651917,0,0.6778987646102905
CSF1,AXL,0,0,0,0,0,0,0.26672548055648804,0,0.7370852828025818
HGF,AXL,0,0,0,0,0,0,0.516170084476471,0,0.9865299463272095
AREG,AXL,0,0,0,0,0,0,0,0,0
PDGFA,AXL,0.3013484477996826,0,0.7717082500457764,0,0,0,0.09591430425643921,0,0.566274106502533
PDGFB,AXL,0,0,0,0.08869162201881409,0,0.5590514540672302,0,0,0
ANGPT2,AXL,0,0,0,0.04357599467039108,0,0.5139358043670654,0.10107237100601196,0,0.5714321732521057
ANGPT1,AXL,0.07420532405376434,0,0.5445651412010193,0,0,0,0.4819891154766083,0,0.9523489475250244
ANGPT4,AXL,0,0,0,0,0,0,0.4687708020210266,0,0.9391306042671204
GAS6,AXL,0.43417468667030334,0,0.9045344591140747,0,0,0,0.6097352504730225,0,1.0800950527191162
BDNF,AXL,0,0,0,0,0,0,0.07588033378124237,0,0.5462401509284973
EREG,AXL,0,0,0,0,0,0,0,0,0
VEGFD,AXL,0,0,0,0,0,0,0.3373737633228302,0,0.8077335357666016
FGF5,AXL,0,0,0,0,0,0,0,0,0
FGF23,AXL,0,0,0,0,0,0,0.043174486607313156,0,0.5135343074798584
PGF,AXL,0,0,0,0,0,0,0.2836599349975586,0,0.7540197372436523
IGF1,EPHA7,0,0,0,0,0,0,0.6156838536262512,0,0.6653986573219299
WNT5A,EPHA7,0,0,0,0,0,0,0.5143752098083496,0,0.5640900135040283
EGF,EPHA7,0.4092708230018616,0,0.4589855968952179,0,0,0,0,0,0
NGF,EPHA7,0,0,0,0,0,0,0.21884998679161072,0,0.26856476068496704
CSF1,EPHA7,0,0,0,0,0,0,0.2780364751815796,0,0.3277512788772583
HGF,EPHA7,0,0,0,0,0,0,0.5274810791015625,0,0.5771958827972412
AREG,EPHA7,0,0,0,0,0,0,0,0,0
PDGFA,EPHA7,0.31265944242477417,0,0.3623742163181305,0,0,0,0.10722529888153076,0,0.15694007277488708
PDGFB,EPHA7,0,0,0,0.10000261664390564,0,0.14971740543842316,0,0,0
