cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
LGALS1,ITGB1,,,,,,,,,0.0
LAMB1,ITGB1,,,,,,,,,0.0
LAMA4,ITGB1,,,,,,,,,0.0
LAMC2,ITGB1,,,0.0,,,,,,
NID1,ITGB1,,,,,,,,,0.0
TNC,ITGB1,,,,,,0.0,,,0.0
LUM,ITGB1,,,,,,,,,0.0
TFF2,ITGB1,,,,,,,,,
TFF1,ITGB1,,,,,,,,,
COL6A3,ITGB1,,,,,,,,,0.0
LAMA3,ITGB1,,,0.0,,,,,,
FBLN1,ITGB1,,,,,,,,,0.0
ICAM4,ITGB1,,,,,,,,,
LAMC3,ITGB1,,,,,,,,,0.0
SPP1,ITGB1,,,,,,0.0,,,0.0
LAMA2,ITGB1,,,,,,,,,0.0
CHAD,ITGB1,,,,,,,,,
SPON2,ITGB1,,,,,,,,,0.0
COL6A6,ITGB1,,,,,,,,,0.0
THBS4,ITGB1,,,,,,,,,0.0
WISP1,ITGB1,,,,,,,,,0.0
CSF3,PLAUR,,0.0,,,0.0,,,,
IL1B,PLAUR,,1.0,,,0.0,,,,
KNG1,PLAUR,,,,,,,,0.0,
VTN,PLAUR,,,,,,,,0.0,
IGLC1,FCGR2B,,,,,,,,,
CD80,CD3E,,,,,,,,,
IL12B,CD3E,,,,,,,,,
IGF1,APP,,,,,,,0.0,0.0,0.0
CD40LG,APP,,,,,,,,,
IAPP,APP,0.8105675675675675,0.09527433628318584,0.0,,,,,,
IL18,APP,1.0,1.0,0.0,1.0,1.0,0.0,,,
APOE,APP,,,,,,,0.0,0.0,0.0
SPON1,APP,,,,,,,0.0,0.0,0.0
KDR,PECAM1,,,,,0.0,,,,
IGF1,PDGFRB,,,,,,,,,0.0
KIT,PDGFRB,,,0.0,,,,,,
EGF,PDGFRB,,,,,,,,,
NGF,PDGFRB,,,0.0,,,,,,0.0
CSF1,PDGFRB,,,0.0,,,0.0,,,0.0
HGF,PDGFRB,,,,,,0.0,,,0.0
AREG,PDGFRB,,,0.0,,,0.0,,,
PDGFA,PDGFRB,,,0.0,,,,,,0.0
PDGFB,PDGFRB,,,0.0,,,0.0,,,
ANGPT2,PDGFRB,,,,,,0.0,,,0.0
ANGPT1,PDGFRB,,,,,,,,,0.0
ANGPT4,PDGFRB,,,,,,,,,0.0
BDNF,PDGFRB,,,0.0,,,,,,0.0
EREG,PDGFRB,,,,,,,,,0.0
VEGFD,PDGFRB,,,,,,,,,0.0
FGF5,PDGFRB,,,,,,,,,
FGF23,PDGFRB,,,,,,,,,0.0
PGF,PDGFRB,,,,,,,,,0.0
MFGE8,PDGFRB,,,0.0,,,,,,0.0
CD80,CD28,,,,,,,,,
IL2,CD28,,,,,,,,,
IL12A,CD28,,,,,,,,,
CD8A,CD28,,,,,,,,,
CD80,CD3G,,,,,,,,,
GZMA,F2R,,,,,,,,,
PRSS2,F2R,,,0.0,,,0.0,,,
IGF1,KIT,,,,,,,0.0,,
EGF,KIT,,,,,,,,,
NGF,KIT,0.0,,,,,,0.0,,
CSF1,KIT,1.0,,,0.0,,,0.0,,
HGF,KIT,,,,0.0,,,0.0,,
AREG,KIT,0.0,,,1.0,,,,,
PDGFA,KIT,0.0,,,,,,0.0,,
PDGFB,KIT,0.0,,,0.0,,,,,
ANGPT2,KIT,,,,0.0,,,0.0,,
ANGPT1,KIT,,,,,,,0.0,,
ANGPT4,KIT,,,,,,,0.0,,
BDNF,KIT,0.0,,,,,,0.0,,
EREG,KIT,,,,,,,0.0,,
VEGFD,KIT,,,,,,,0.0,,
FGF5,KIT,,,,,,,,,
FGF23,KIT,,,,,,,0.0,,
PGF,KIT,,,,,,,0.0,,
SAA1,CD36,,,,,,,,,
THBS1,CD36,,,,,,,,,
THBS2,CD36,,,,,,,,,
S100A8,CD36,,,,,,,,,
S100A9,CD36,,,,,,,,,
THBS4,CD36,,,,,,,,,
KIT,CSF2RB,,0.0,,,,,,,
CSF3,CSF2RB,,0.0,,,0.0,,,,
CSF2,CSF2RB,,,,,,,,,
IL5,CSF2RB,,,,,,,,,
KDR,CSF2RB,,,,,0.0,,,,
TSLP,IL7R,,,,,,,,,
IL7,IL7R,,,,,,,,,
IL6,IL2RB,,,,,,,,,
IL2,IL2RB,,,,,,,,,
IL1RN,IL2RB,,,,,,,,,
CD8A,IL2RB,,,,,,,,,
IGF1,KDR,,,,,,,,0.0,
IL6,KDR,,,,,,,,0.0,
EGF,KDR,,,,,,,,,
NGF,KDR,,0.0,,,,,,0.0,
CSF1,KDR,,1.0,,,0.0,,,0.0,
HGF,KDR,,,,,0.0,,,0.0,
AREG,KDR,,0.0,,,1.0,,,,
PDGFA,KDR,,0.0,,,,,,0.0,
PDGFB,KDR,,0.0,,,0.0,,,,
ANGPT2,KDR,,,,,0.0,,,0.0,
ANGPT1,KDR,,,,,,,,0.0,
ANGPT4,KDR,,,,,,,,0.0,
FLT4,KDR,,,,,0.0,,,,
BDNF,KDR,,0.0,,,,,,0.0,
EREG,KDR,,,,,,,,0.0,
VEGFD,KDR,,,,,,,,0.0,
PTHLH,KDR,,0.0,,,,,,0.0,
VTN,KDR,,,,,,,,0.0,
FGF5,KDR,,,,,,,,,
FGF23,KDR,,,,,,,,0.0,
PGF,KDR,,,,,,,,0.0,
GREM1,KDR,,,,,,,,0.0,
NRP1,KDR,,,,,,,,0.0,
MDK,PTPRZ1,,,,,,,,,
PTN,PTPRZ1,,,,,,,,,
L1CAM,PTPRZ1,,,,,,,,,
TNC,PTPRZ1,,,,,,,,,
HGF,CD44,,,,1.0,0.0,1.0,1.0,0.0,1.0
TNF,CD44,1.0,0.0,1.0,1.0,0.0,1.0,,,
HBEGF,CD44,1.0,0.0,1.0,,,,,,
LGALS9,CD44,,,,1.0,0.0,1.0,1.0,0.0,1.0
VCAN,CD44,,,,,,,0.0,0.0,0.0
LAMB1,CD44,,,,,,,0.0,0.0,0.0
LAMA4,CD44,,,,,,,0.0,0.0,0.0
LAMC2,CD44,1.0,0.0,1.0,,,,,,
COL6A3,CD44,,,,,,,0.0,0.0,0.0
LAMA3,CD44,1.0,0.0,1.0,,,,,,
LAMC3,CD44,,,,,,,0.2689775784753363,0.0,1.0
SPP1,CD44,,,,1.0,0.0,1.0,1.0,0.0,1.0
LAMA2,CD44,,,,,,,0.0,0.0,0.0
PRG4,CD44,,,,,,,0.0,0.0,0.008592178770949721
COL6A5,CD44,,,,,,,1.0,0.0,1.0
COL6A6,CD44,,,,,,,1.0,0.0,1.0
RELN,ITGB6,,,,,,,,,
VTN,ITGB6,,,,,,,0.0,,
THBS1,ITGB6,,,,0.0,,,0.0,,
THBS2,ITGB6,,,,,,,0.0,,
VWF,ITGB6,0.0,,,0.0,,,,,
LAMB1,ITGB6,,,,,,,0.0,,
LAMA4,ITGB6,,,,,,,0.0,,
LAMC2,ITGB6,0.0,,,,,,,,
TNC,ITGB6,,,,0.0,,,0.0,,
COL6A3,ITGB6,,,,,,,0.0,,
LAMA3,ITGB6,0.0,,,,,,,,
LAMC3,ITGB6,,,,,,,0.0,,
SPP1,ITGB6,,,,0.0,,,0.46689285714285716,,
LAMA2,ITGB6,,,,,,,0.0,,
CHAD,ITGB6,,,,,,,,,
COL6A6,ITGB6,,,,,,,0.0,,
THBS4,ITGB6,,,,,,,0.0,,
IGF1,EPHB1,,,,,,,,,
EGF,EPHB1,,,,,,,,,
NGF,EPHB1,,,,,,,,,
CSF1,EPHB1,,,,,,,,,
HGF,EPHB1,,,,,,,,,
AREG,EPHB1,,,,,,,,,
PDGFA,EPHB1,,,,,,,,,
PDGFB,EPHB1,,,,,,,,,
EFNB3,EPHB1,,,,,,,,,
ANGPT2,EPHB1,,,,,,,,,
ANGPT1,EPHB1,,,,,,,,,
ANGPT4,EPHB1,,,,,,,,,
BDNF,EPHB1,,,,,,,,,
EREG,EPHB1,,,,,,,,,
VEGFD,EPHB1,,,,,,,,,
FGF5,EPHB1,,,,,,,,,
FGF23,EPHB1,,,,,,,,,
PGF,EPHB1,,,,,,,,,
IGF1,EPHA2,,,,,,,0.0,,
EGF,EPHA2,,,,,,,,,
NGF,EPHA2,0.0,,,,,,0.0,,
CSF1,EPHA2,1.0,,,0.0,,,0.0,,
HGF,EPHA2,,,,0.0,,,0.0,,
TNF,EPHA2,0.0,,,0.0,,,,,
AREG,EPHA2,0.0,,,0.0,,,,,
PDGFA,EPHA2,0.0,,,,,,0.0,,
PDGFB,EPHA2,0.0,,,0.0,,,,,
ANGPT2,EPHA2,,,,0.0,,,0.0,,
ANGPT1,EPHA2,,,,,,,0.0,,
ANGPT4,EPHA2,,,,,,,0.0,,
BDNF,EPHA2,0.0,,,,,,0.0,,
EREG,EPHA2,,,,,,,0.0,,
VEGFD,EPHA2,,,,,,,0.0,,
FGF5,EPHA2,,,,,,,,,
FGF23,EPHA2,,,,,,,0.0,,
PGF,EPHA2,,,,,,,0.0,,
TLN1,ITGB5,,,,,,,,0.0,0.0
RELN,ITGB5,,,,,,,,,
VTN,ITGB5,,,,,,,,0.0,0.0
THBS1,ITGB5,,,,,0.0,0.0,,1.0,0.0
THBS2,ITGB5,,,,,,,,0.0,0.0
VWF,ITGB5,,1.0,0.0,,1.0,0.0,,,
LAMB1,ITGB5,,,,,,,,0.0,0.0
LAMA4,ITGB5,,,,,,,,0.0,0.0
LAMC2,ITGB5,,0.0,0.0,,,,,,
TNC,ITGB5,,,,,1.0,0.0,,0.0,0.0
COL6A3,ITGB5,,,,,,,,0.0,0.0
LAMA3,ITGB5,,0.0,0.0,,,,,,
LAMC3,ITGB5,,,,,,,,0.0,0.0
SPP1,ITGB5,,,,,0.0,0.0,,1.0,0.0
CYR61,ITGB5,,,,,,,,0.0,0.0
LAMA2,ITGB5,,,,,,,,0.0,0.0
EDIL3,ITGB5,,,,,,,,0.1841267605633803,0.0
CHAD,ITGB5,,,,,,,,,
COL6A6,ITGB5,,,,,,,,0.0,0.0
THBS4,ITGB5,,,,,,,,0.0,0.0
IGF1,FGFR1,,,,,,,,,0.0
EGF,FGFR1,,,,,,,,,
NGF,FGFR1,,,0.0,,,,,,0.0
CSF1,FGFR1,,,0.0,,,0.0,,,0.0
HGF,FGFR1,,,,,,0.0,,,0.0
AREG,FGFR1,,,0.0,,,0.0,,,
PDGFA,FGFR1,,,0.0,,,,,,0.0
PDGFB,FGFR1,,,0.0,,,0.0,,,
ANGPT2,FGFR1,,,,,,0.0,,,0.0
ANGPT1,FGFR1,,,,,,,,,0.0
ANGPT4,FGFR1,,,,,,,,,0.0
BDNF,FGFR1,,,0.0,,,,,,0.0
EREG,FGFR1,,,,,,,,,0.0
VEGFD,FGFR1,,,,,,,,,0.0
FGF5,FGFR1,,,,,,,,,
FGF23,FGFR1,,,,,,,,,0.0
PGF,FGFR1,,,,,,,,,0.0
IGF1,FGFR4,,,,,,,,,0.0
EGF,FGFR4,,,,,,,,,
NGF,FGFR4,,,0.0,,,,,,0.0
CSF1,FGFR4,,,1.0,,,0.0,,,0.0
HGF,FGFR4,,,,,,0.0,,,0.0
AREG,FGFR4,,,0.0,,,1.0,,,
PDGFA,FGFR4,,,0.0,,,,,,0.0
PDGFB,FGFR4,,,0.0,,,0.0,,,
ANGPT2,FGFR4,,,,,,0.0,,,0.0
ANGPT1,FGFR4,,,,,,,,,0.0
ANGPT4,FGFR4,,,,,,,,,0.0
BDNF,FGFR4,,,0.0,,,,,,0.0
EREG,FGFR4,,,,,,,,,0.0
VEGFD,FGFR4,,,,,,,,,0.0
FGF5,FGFR4,,,,,,,,,
FGF23,FGFR4,,,,,,,,,0.0
PGF,FGFR4,,,,,,,,,0.0
PDGFA,FURIN,,0.0,,,,,,0.0,
IGF1,FLT4,,,,,,,,0.0,
EGF,FLT4,,,,,,,,,
NGF,FLT4,,0.0,,,,,,0.0,
CSF1,FLT4,,1.0,,,0.0,,,0.0,
HGF,FLT4,,,,,0.0,,,0.0,
TNF,FLT4,,1.0,,,0.0,,,,
AREG,FLT4,,0.0,,,1.0,,,,
PDGFA,FLT4,,0.0,,,,,,0.0,
PDGFB,FLT4,,0.0,,,0.0,,,,
ANGPT2,FLT4,,,,,0.0,,,0.0,
ANGPT1,FLT4,,,,,,,,0.0,
ANGPT4,FLT4,,,,,,,,0.0,
KDR,FLT4,,,,,0.0,,,,
BDNF,FLT4,,0.0,,,,,,0.0,
EREG,FLT4,,,,,,,,0.0,
VEGFD,FLT4,,,,,,,,0.0,
VTN,FLT4,,,,,,,,0.0,
FGF5,FLT4,,,,,,,,,
FGF23,FLT4,,,,,,,,0.0,
PGF,FLT4,,,,,,,,0.0,
IL6,NOTCH3,,,,,,,0.0,,0.0
DLL4,NOTCH3,,,,0.0,,0.0,,,
THBS2,NOTCH3,,,,,,,0.0,,0.0
DLK1,NOTCH3,,,,,,,0.0,,0.0
SCGB3A1,NOTCH3,0.0,,0.0,1.0,,0.0,,,
IGF1,TIE1,,,,,,,,0.0,
EGF,TIE1,,,,,,,,,
NGF,TIE1,,0.0,,,,,,0.0,
CSF1,TIE1,,1.0,,,0.0,,,0.0,
HGF,TIE1,,,,,0.0,,,0.0,
AREG,TIE1,,0.0,,,1.0,,,,
PDGFA,TIE1,,0.0,,,,,,0.0,
PDGFB,TIE1,,0.0,,,0.0,,,,
ANGPT2,TIE1,,,,,0.0,,,0.0,
ANGPT1,TIE1,,,,,,,,0.0,
ANGPT4,TIE1,,,,,,,,0.0,
BDNF,TIE1,,0.0,,,,,,0.0,
EREG,TIE1,,,,,,,,0.0,
VEGFD,TIE1,,,,,,,,0.0,
FGF5,TIE1,,,,,,,,,
FGF23,TIE1,,,,,,,,0.0,
PGF,TIE1,,,,,,,,0.0,
ANGPTL4,TIE1,,,,,,,,0.0,
IGF1,AXL,,,,,,,,,0.0
EGF,AXL,,,,,,,,,
NGF,AXL,,,0.0,,,,,,0.0
CSF1,AXL,,,0.0,,,0.0,,,0.0
HGF,AXL,,,,,,0.0,,,0.0
AREG,AXL,,,0.0,,,0.0,,,
PDGFA,AXL,,,0.0,,,,,,0.0
PDGFB,AXL,,,0.0,,,0.0,,,
ANGPT2,AXL,,,,,,0.0,,,0.0
ANGPT1,AXL,,,,,,,,,0.0
ANGPT4,AXL,,,,,,,,,0.0
GAS6,AXL,,,,,,,,,0.0
BDNF,AXL,,,0.0,,,,,,0.0
EREG,AXL,,,,,,,,,0.0
VEGFD,AXL,,,,,,,,,0.0
FGF5,AXL,,,,,,,,,
FGF23,AXL,,,,,,,,,0.0
PGF,AXL,,,,,,,,,0.0
IGF1,EPHA7,,,,,,,0.0,,0.0
WNT5A,EPHA7,,,,,,,0.0,,0.0
EGF,EPHA7,,,,,,,,,
NGF,EPHA7,1.0,,0.0,,,,0.0,,0.0
CSF1,EPHA7,1.0,,0.0,0.0,,0.0,1.0,,0.0
HGF,EPHA7,,,,1.0,,0.0,0.0,,0.0
AREG,EPHA7,0.0,,0.0,1.0,,0.0,,,
PDGFA,EPHA7,1.0,,0.0,,,,0.0,,0.0
PDGFB,EPHA7,1.0,,0.0,1.0,,0.0,,,
ANGPT2,EPHA7,,,,1.0,,0.0,1.0,,0.0
ANGPT1,EPHA7,,,,,,,0.0,,0.0
ANGPT4,EPHA7,,,,,,,0.0,,0.0
BDNF,EPHA7,1.0,,0.0,,,,0.0,,0.0
AFDN,EPHA7,0.0,,0.0,,,,,,
EREG,EPHA7,,,,,,,0.0,,0.0
VEGFD,EPHA7,,,,,,,0.0,,0.0
FGF5,EPHA7,,,,,,,,,
FGF23,EPHA7,,,,,,,1.0,,0.0
PGF,EPHA7,,,,,,,0.0,,0.0
IGF1,EPHA5,,,,,,,0.0,,
EGF,EPHA5,,,,,,,,,
NGF,EPHA5,0.0,,,,,,0.0,,
CSF1,EPHA5,1.0,,,0.0,,,0.014045662100456621,,
HGF,EPHA5,,,,1.0,,,0.0,,
AREG,EPHA5,0.0,,,1.0,,,,,
PDGFA,EPHA5,0.0,,,,,,0.0,,
PDGFB,EPHA5,0.0,,,0.0,,,,,
ANGPT2,EPHA5,,,,0.0,,,0.0,,
ANGPT1,EPHA5,,,,,,,0.0,,
ANGPT4,EPHA5,,,,,,,0.0,,
BDNF,EPHA5,0.0,,,,,,0.0,,
EREG,EPHA5,,,,,,,0.0,,
VEGFD,EPHA5,,,,,,,0.0,,
FGF5,EPHA5,,,,,,,,,
FGF23,EPHA5,,,,,,,0.0,,
PGF,EPHA5,,,,,,,0.0,,
IGF1,INSRR,,,,,,,0.0,,0.0
EGF,INSRR,,,,,,,,,
NGF,INSRR,0.0,,0.0,,,,0.0,,0.0
CSF1,INSRR,1.0,,1.0,0.0,,0.0,0.11134841628959276,,0.0
HGF,INSRR,,,,1.0,,0.0,0.0,,0.0
AREG,INSRR,0.0,,0.0,1.0,,1.0,,,
PDGFA,INSRR,0.0,,0.0,,,,0.0,,0.0
PDGFB,INSRR,0.0,,0.0,0.0,,0.0,,,
ANGPT2,INSRR,,,,0.0,,0.0,0.0,,0.0
ANGPT1,INSRR,,,,,,,0.0,,0.0
ANGPT4,INSRR,,,,,,,0.0,,0.0
BDNF,INSRR,0.0,,0.0,,,,0.0,,0.0
EREG,INSRR,,,,,,,0.0,,0.0
VEGFD,INSRR,,,,,,,0.0,,0.0
FGF5,INSRR,,,,,,,,,
FGF23,INSRR,,,,,,,0.0,,0.0
PGF,INSRR,,,,,,,0.0,,0.0
IGF1,PDGFRA,,,,,,,,,0.0
EGF,PDGFRA,,,,,,,,,
NGF,PDGFRA,,,0.0,,,,,,0.0
CSF1,PDGFRA,,,0.0,,,0.0,,,0.0
HGF,PDGFRA,,,,,,0.0,,,0.0
AREG,PDGFRA,,,0.0,,,0.0,,,
PDGFA,PDGFRA,,,0.0,,,,,,0.0
PDGFB,PDGFRA,,,0.0,,,0.0,,,
ANGPT2,PDGFRA,,,,,,0.0,,,0.0
ANGPT1,PDGFRA,,,,,,,,,0.0
ANGPT4,PDGFRA,,,,,,,,,0.0
BDNF,PDGFRA,,,0.0,,,,,,0.0
EREG,PDGFRA,,,,,,,,,0.0
VEGFD,PDGFRA,,,,,,,,,0.0
FGF5,PDGFRA,,,,,,,,,
FGF23,PDGFRA,,,,,,,,,0.0
PGF,PDGFRA,,,,,,,,,0.0
IGF1,CSF1R,,,,,,,,0.0,
EGF,CSF1R,,,,,,,,,
NGF,CSF1R,,0.0,,,,,,0.0,
CSF1,CSF1R,,1.0,,,0.0,,,0.0,
CSF3,CSF1R,,0.0,,,0.0,,,,
CSF2,CSF1R,,,,,,,,,
HGF,CSF1R,,,,,0.0,,,0.0,
AREG,CSF1R,,0.0,,,0.0,,,,
PDGFA,CSF1R,,0.0,,,,,,0.0,
PDGFB,CSF1R,,0.0,,,0.0,,,,
ANGPT2,CSF1R,,,,,0.0,,,0.0,
ANGPT1,CSF1R,,,,,,,,0.0,
ANGPT4,CSF1R,,,,,,,,0.0,
BDNF,CSF1R,,0.0,,,,,,0.0,
EREG,CSF1R,,,,,,,,0.0,
VEGFD,CSF1R,,,,,,,,0.0,
FGF5,CSF1R,,,,,,,,,
FGF23,CSF1R,,,,,,,,0.0,
PGF,CSF1R,,,,,,,,0.0,
IGF1,DDR2,,,,,,,,,0.0
EGF,DDR2,,,,,,,,,
NGF,DDR2,,,0.0,,,,,,0.0
CSF1,DDR2,,,0.0,,,0.0,,,0.0
HGF,DDR2,,,,,,0.0,,,0.0
AREG,DDR2,,,0.0,,,0.0,,,
PDGFA,DDR2,,,0.0,,,,,,0.0
PDGFB,DDR2,,,0.0,,,0.0,,,
ANGPT2,DDR2,,,,,,0.0,,,0.0
ANGPT1,DDR2,,,,,,,,,0.0
ANGPT4,DDR2,,,,,,,,,0.0
BDNF,DDR2,,,0.0,,,,,,0.0
EREG,DDR2,,,,,,,,,0.0
VEGFD,DDR2,,,,,,,,,0.0
FGF5,DDR2,,,,,,,,,
FGF23,DDR2,,,,,,,,,0.0
PGF,DDR2,,,,,,,,,0.0
IGF1,RET,,,,,,,0.0,,
EGF,RET,,,,,,,,,
NGF,RET,0.0,,,,,,0.0,,
CSF1,RET,1.0,,,0.0,,,0.0,,
HGF,RET,,,,0.0,,,0.0,,
AREG,RET,0.0,,,1.0,,,,,
PDGFA,RET,0.0,,,,,,0.0,,
PDGFB,RET,0.0,,,0.0,,,,,
ANGPT2,RET,,,,0.0,,,0.0,,
ANGPT1,RET,,,,,,,0.0,,
ANGPT4,RET,,,,,,,0.0,,
GDNF,RET,,,,,,,0.0,,
BDNF,RET,0.0,,,,,,0.0,,
AGT,RET,,,,,,,0.0,,
EREG,RET,,,,,,,0.0,,
VEGFD,RET,,,,,,,0.0,,
GDF15,RET,0.0,,,0.0,,,1.0,,
FGFR4,RET,,,,,,,0.0,,
FGF5,RET,,,,,,,,,
FGF23,RET,,,,,,,0.0,,
PGF,RET,,,,,,,0.0,,
LGALS1,RET,,,,,,,0.0,,
IGF1,FLT1,,,,,,,,,
EGF,FLT1,,,,,,,,,
NGF,FLT1,,,,,,,,,
CSF1,FLT1,,,,,,,,,
CSF2,FLT1,,,,,,,,,
HGF,FLT1,,,,,,,,,
AREG,FLT1,,,,,,,,,
PDGFA,FLT1,,,,,,,,,
PDGFB,FLT1,,,,,,,,,
ANGPT2,FLT1,,,,,,,,,
ANGPT1,FLT1,,,,,,,,,
ANGPT4,FLT1,,,,,,,,,
KDR,FLT1,,,,,,,,,
FLT4,FLT1,,,,,,,,,
BDNF,FLT1,,,,,,,,,
EREG,FLT1,,,,,,,,,
VEGFD,FLT1,,,,,,,,,
FGF5,FLT1,,,,,,,,,
FGF23,FLT1,,,,,,,,,
PGF,FLT1,,,,,,,,,
TNF,TRPM2,1.0,1.0,,0.0,0.0,,,,
EGF,HSP90AB1,,,,,,,,,
IL4,LGALS3,,,,,,,,,
MUC1,LGALS3,0.0,0.0,,0.0,1.0,,,,
CSF2,LGALS3,,,,,,,,,
TNF,NR3C1,,,,,,,,,
RLN1,NR3C1,,,,,,,,,
GC,NR3C1,,,,,,,,,
HGF,THBS1,,,,,0.0,0.3948918918918919,,0.0,0.0
IL18,THBS1,,0.0,0.10185430463576159,,0.0,0.0,,,
VWF,THBS1,,0.0,0.0,,0.0,0.0,,,
IGF1,ITGAV,,,,,,,,,
NRG1,ITGAV,,,,,,,,,
PTN,ITGAV,,,,,,,,,
L1CAM,ITGAV,,,,,,,,,
VTN,ITGAV,,,,,,,,,
THBS1,ITGAV,,,,,,,,,
THBS2,ITGAV,,,,,,,,,
CTGF,ITGAV,,,,,,,,,
VWF,ITGAV,,,,,,,,,
PECAM1,ITGAV,,,,,,,,,
TNC,ITGAV,,,,,,,,,
MFGE8,ITGAV,,,,,,,,,
ANGPTL4,ITGAV,,,,,,,,,
DMP1,ITGAV,,,,,,,,,
ICAM4,ITGAV,,,,,,,,,
SPP1,ITGAV,,,,,,,,,
CYR61,ITGAV,,,,,,,,,
EDIL3,ITGAV,,,,,,,,,
POSTN,ITGAV,,,,,,,,,
THBS4,ITGAV,,,,,,,,,
CCL2,CCR2,,,,,0.0,,,0.0,
CXCL9,CCR2,,,,,,,,0.0,
CCL5,CCR2,,,,,,,,,
CCL8,CCR2,,,,,0.0,,,0.0,
CCL4,CCR2,,,,,0.0,,,,
CD40LG,CCR2,,,,,,,,,
CXCL10,CCR2,,0.0,,,0.0,,,0.0,
CXCL12,CCR2,,,,,,,,0.0,
CCL3,CCR2,,1.0,,,0.0,,,,
CCL7,CCR2,,,,,0.0,,,0.0,
CCL11,CCR2,,,,,,,,0.0,
CCL24,CCR2,,,,,0.0,,,,
CCL17,CCR2,,,,,,,,,
CCL22,CCR2,,,,,,,,,
CCL20,CCR2,,0.0,,,0.0,,,,
CCL1,CCR2,,,,,,,,,
CXCL1,CCR2,,1.0,,,0.0,,,0.0,
CXCL2,CCR2,,1.0,,,0.0,,,,
CXCL3,CCR2,,1.0,,,0.0,,,,
CXCL5,CCR2,,0.0,,,0.0,,,0.0,
PPBP,CCR2,,,,,,,,,
CXCL13,CCR2,,0.0,,,,,,0.0,
XCL1,CCR2,,,,,,,,,
PF4,CCR2,,,,,0.0,,,,
CXCL14,CCR2,,,,,,,,0.0,
CYTL1,CCR2,,,,,,,,,
MSMP,CCR2,,,,,,,,,
CCL2,CCR3,,,,,1.0,,,0.0,
CXCL9,CCR3,,,,,,,,0.0,
CCL5,CCR3,,,,,,,,,
CCL8,CCR3,,,,,0.0,,,1.0,
CCL4,CCR3,,,,,0.0,,,,
IL4,CCR3,,,,,,,,,
CXCL10,CCR3,,1.0,,,1.0,,,0.0,
IL2,CCR3,,,,,,,,,
CXCL12,CCR3,,,,,,,,0.0,
CCL3,CCR3,,1.0,,,0.0,,,,
CCL7,CCR3,,,,,0.1637685185185185,,,0.0,
CCL11,CCR3,,,,,,,,0.0,
CCL24,CCR3,,,,,0.0,,,,
CCL17,CCR3,,,,,,,,,
CCL22,CCR3,,,,,,,,,
CCL20,CCR3,,0.0,,,0.9927090909090908,,,,
CCL1,CCR3,,,,,,,,,
CXCL1,CCR3,,1.0,,,1.0,,,0.0,
CXCL2,CCR3,,1.0,,,0.0,,,,
CXCL3,CCR3,,1.0,,,0.0,,,,
CXCL5,CCR3,,0.0,,,1.0,,,1.0,
PPBP,CCR3,,,,,,,,,
CXCL13,CCR3,,1.0,,,,,,0.0,
XCL1,CCR3,,,,,,,,,
PF4,CCR3,,,,,0.0,,,,
CXCL14,CCR3,,,,,,,,0.0,
