"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"11","epithelium","mesenchyme","MIF","ACKR3",4.70737924919612e-07,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090"
"12","mesenchyme","mesenchyme","MIF","ACKR3",3.85149244262293e-07,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090"
"13","epithelium","mesenchyme","MDK","SDC2",4.27943586422309e-07,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"14","mesenchyme","mesenchyme","MDK","SDC2",1.71177478521506e-07,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"15","epithelium","epithelium","MDK","SDC4",4.27943586422309e-07,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"16","mesenchyme","epithelium","MDK","SDC4",1.71177478521506e-07,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"17","mesenchyme","epithelium","PTN","SDC1",8.55887465861859e-08,0,"PTN_SDC1","PTN - SDC1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"18","mesenchyme","epithelium","PTN","SDC2",8.55887465861859e-08,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"19","mesenchyme","mesenchyme","PTN","SDC2",3.42354898439563e-07,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"20","mesenchyme","epithelium","PTN","SDC4",3.42354898439563e-07,0,"PTN_SDC4","PTN - SDC4","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"21","epithelium","mesenchyme","EDN1","EDNRA",5.13532259754203e-07,0,"EDN1_EDNRA","EDN1 - EDNRA","EDN","Secreted Signaling","KEGG: hsa04080"
"22","epithelium","mesenchyme","EDN1","EDNRB",2.56766195805964e-07,0,"EDN1_EDNRB","EDN1 - EDNRB","EDN","Secreted Signaling","KEGG: hsa04080"
"23","mesenchyme","epithelium","FN1","CD44",1.06985930943534e-07,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"24","mesenchyme","mesenchyme","FN1","CD44",8.55887465861859e-08,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"25","mesenchyme","epithelium","COL1A1","CD44",4.27943586422309e-07,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"26","mesenchyme","mesenchyme","COL1A1","CD44",3.42354898439563e-07,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"27","mesenchyme","epithelium","COL1A2","CD44",6.41915242281707e-07,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"28","mesenchyme","mesenchyme","COL1A2","CD44",5.13532259754203e-07,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"29","mesenchyme","epithelium","COL4A1","CD44",5.34929425797982e-07,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"30","mesenchyme","mesenchyme","COL4A1","CD44",4.27943586422309e-07,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"31","mesenchyme","epithelium","COL4A2","CD44",5.34929425797982e-07,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"32","mesenchyme","mesenchyme","COL4A2","CD44",4.27943586422309e-07,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"33","mesenchyme","epithelium","COL6A1","CD44",9.62872554381277e-07,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"34","mesenchyme","mesenchyme","COL6A1","CD44",7.70298191844819e-07,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"35","mesenchyme","epithelium","COL6A2","CD44",1.81875771273629e-06,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"36","mesenchyme","mesenchyme","COL6A2","CD44",1.45500669944996e-06,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"37","mesenchyme","epithelium","COL6A3","CD44",1.06985930943534e-07,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"38","mesenchyme","mesenchyme","COL6A3","CD44",8.55887465861859e-08,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"39","mesenchyme","epithelium","LAMA4","CD44",1.06985930943534e-07,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"40","mesenchyme","mesenchyme","LAMA4","CD44",8.55887465861859e-08,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"41","epithelium","epithelium","LAMB3","CD44",5.34929425797982e-07,0,"LAMB3_CD44","LAMB3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"42","epithelium","mesenchyme","LAMB3","CD44",4.27943586422309e-07,0,"LAMB3_CD44","LAMB3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"43","epithelium","epithelium","LAMC2","CD44",1.06985930943534e-07,0,"LAMC2_CD44","LAMC2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"44","epithelium","mesenchyme","LAMC2","CD44",8.55887465861859e-08,0,"LAMC2_CD44","LAMC2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"45","mesenchyme","epithelium","COL1A1","SDC1",8.55887465861859e-08,0,"COL1A1_SDC1","COL1A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"46","mesenchyme","epithelium","COL1A2","SDC1",1.28383114385204e-07,0,"COL1A2_SDC1","COL1A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"47","mesenchyme","epithelium","COL4A1","SDC1",1.06985930943534e-07,0,"COL4A1_SDC1","COL4A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"48","mesenchyme","epithelium","COL4A2","SDC1",1.06985930943534e-07,0,"COL4A2_SDC1","COL4A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"49","mesenchyme","epithelium","COL6A1","SDC1",1.92574659216138e-07,0,"COL6A1_SDC1","COL6A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"50","mesenchyme","epithelium","COL6A2","SDC1",3.63752071808767e-07,0,"COL6A2_SDC1","COL6A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"51","mesenchyme","epithelium","COL6A3","SDC1",2.13971880200653e-08,0,"COL6A3_SDC1","COL6A3 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"52","mesenchyme","epithelium","FN1","SDC1",2.13971880200653e-08,0,"FN1_SDC1","FN1 - SDC1","FN1","ECM-Receptor","KEGG: hsa04512"
"53","mesenchyme","epithelium","THBS1","SDC1",1.49780296911194e-07,0,"THBS1_SDC1","THBS1 - SDC1","THBS","ECM-Receptor","KEGG: hsa04512"
"54","mesenchyme","epithelium","COL1A1","SDC4",3.42354898439563e-07,0,"COL1A1_SDC4","COL1A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"55","mesenchyme","epithelium","COL1A2","SDC4",5.13532259754203e-07,0,"COL1A2_SDC4","COL1A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"56","mesenchyme","epithelium","COL4A1","SDC4",4.27943586422309e-07,0,"COL4A1_SDC4","COL4A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"57","mesenchyme","epithelium","COL4A2","SDC4",4.27943586422309e-07,0,"COL4A2_SDC4","COL4A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"58","mesenchyme","epithelium","COL6A1","SDC4",7.70298191844819e-07,0,"COL6A1_SDC4","COL6A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"59","mesenchyme","epithelium","COL6A2","SDC4",1.45500669944996e-06,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"60","mesenchyme","epithelium","COL6A3","SDC4",8.55887465861859e-08,0,"COL6A3_SDC4","COL6A3 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"61","mesenchyme","epithelium","FN1","SDC4",8.55887465861859e-08,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"62","epithelium","epithelium","THBS1","SDC4",4.27943586422309e-07,0,"THBS1_SDC4","THBS1 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"63","mesenchyme","epithelium","THBS1","SDC4",5.9912091843525e-07,0,"THBS1_SDC4","THBS1 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"64","epithelium","epithelium","CDH1","CDH1",5.34929425797982e-07,0,"CDH1_CDH1","CDH1 - CDH1","CDH","Cell-Cell Contact","KEGG: hsa04514"
"65","epithelium","epithelium","DSC2","DSG2",2.13971880200653e-08,0,"DSC2_DSG2","DSC2 - DSG2","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"66","epithelium","epithelium","DSG2","DSC3",2.13971880200653e-08,0,"DSG2_DSC3","DSG2 - DSC3","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"67","epithelium","epithelium","EFNA1","EPHA2",8.55887465861859e-08,0,"EFNA1_EPHA2","EFNA1 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"68","epithelium","mesenchyme","EFNA1","EPHA3",8.55887465861859e-08,0,"EFNA1_EPHA3","EFNA1 - EPHA3","EPHA","Cell-Cell Contact","PMID: 15114347"
"69","mesenchyme","mesenchyme","EFNA1","EPHA3",2.13971880200653e-08,0,"EFNA1_EPHA3","EFNA1 - EPHA3","EPHA","Cell-Cell Contact","PMID: 15114347"
"70","mesenchyme","mesenchyme","ESAM","ESAM",2.13971880200653e-08,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"71","epithelium","mesenchyme","JAG1","NOTCH3",1.06985930943534e-07,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"72","mesenchyme","mesenchyme","JAG1","NOTCH3",5.34929425797982e-07,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
