source,target,aspect_intercell_source,aspect_intercell_target,category_intercell_source,category_intercell_target,category_source_intercell_source,category_source_intercell_target,consensus_direction,consensus_inhibition,consensus_score_intercell_source,consensus_score_intercell_target,consensus_stimulation,curation_effort,database_intercell_source,database_intercell_target,dip_url,entity_type_intercell_source,entity_type_intercell_target,is_inhibition,is_stimulation,n_primary_sources,n_references,n_sources,parent_intercell_source,parent_intercell_target,plasma_membrane_peripheral_intercell_source,plasma_membrane_peripheral_intercell_target,plasma_membrane_transmembrane_intercell_source,plasma_membrane_transmembrane_intercell_target,receiver_intercell_source,receiver_intercell_target,references,references_stripped,scope_intercell_source,scope_intercell_target,secreted_intercell_source,secreted_intercell_target,sources,transmitter_intercell_source,transmitter_intercell_target,type,uniprot_intercell_source,uniprot_intercell_target
ANGPT1,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,Q15389,Q16620
ANGPT4,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,Q9Y264,Q16620
BDNF,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,18,15,True,26,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=9794,protein,protein,False,True,21,17,32,ligand,receptor,False,False,False,True,False,True,AlzPathway:9775403;Baccin2019:76445409312147;BioGRID:21651720;BioGRID:9312147;CA1:1645620;CA1:9648856;CellChatDB:27908981;CellTalkDB:7644540;DIP:9312147;HPMR:7644540;HPRD:9312147;LRdb:7644540;LRdb:931;Lit-BM-17:11855816;Lit-BM-17:21651720;Lit-BM-17:9312147;ProtMapper:21849472;ProtMapper:26740873;ProtMapper:26899129;ProtMapper:28679669;SIGNOR:17306385;SIGNOR:7679912;SignaLink3:23331499;SignaLink3:9312147;connectomeDB2020:7644540;connectomeDB2020:9312147,11855816;1645620;17306385;21651720;21849472;23331499;26740873;26899129;27908981;28679669;7644540;76445409312147;7679912;931;9312147;9648856;9775403,generic,generic,True,False,AlzPathway;Baccin2019;BioGRID;CA1;CellChatDB;CellPhoneDB;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Sparser_ProtMapper;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P23560,Q16620
EREG,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,15,True,1,,talklr;connectomeDB2020;iTALK;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,O14944,Q16620
VEGFD,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,O43915,Q16620
FGF5,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P12034,Q16620
FGF23,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,15,True,1,,talklr;connectomeDB2020;iTALK;CellCellInteractions;HGNC;CellPhoneDB;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,Q9GZV9,Q16620
PGF,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P49763,Q16620
BDNF,GRIN2A,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,18,5,False,1,,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;Baccin2019;OmniPath,,protein,protein,False,False,1,1,2,ligand,receptor,False,False,False,False,False,True,ProtMapper:27765467,27765467,generic,generic,True,False,ProtMapper;Sparser_ProtMapper,True,False,post_translational,P23560,Q12879
ANXA1,GRIN2A,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,13,5,False,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,1,1,2,ligand,receptor,False,False,False,False,False,True,ProtMapper:22870316,22870316,generic,generic,True,False,ProtMapper;Sparser_ProtMapper,True,False,post_translational,P04083,Q12879
IFNG,GRIA1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,15,3,False,1,talklr;connectomeDB2020;Matrisome;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;OmniPath,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,1,1,2,ligand,receptor,False,False,False,False,False,True,ProtMapper:18198214,18198214,generic,generic,True,False,ProtMapper;RLIMS-P_ProtMapper,True,False,post_translational,P01579,P42261
BDNF,GRIA1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,18,3,False,1,,talklr;connectomeDB2020;iTALK;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;SignaLink_function;OmniPath,,protein,protein,False,False,1,1,2,ligand,receptor,False,False,False,False,False,True,ProtMapper:17337442,17337442,generic,generic,True,False,ProtMapper;Sparser_ProtMapper,True,False,post_translational,P23560,P42261
NTS,GRIA1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,15,3,False,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,1,1,2,ligand,receptor,False,False,False,False,False,True,ProtMapper:12064480,12064480,generic,generic,True,False,ProtMapper;Sparser_ProtMapper,True,False,post_translational,P30990,P42261
LGALS9,PTPRC,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,7,9,False,1,,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,False,1,1,1,ligand,receptor,False,False,False,True,False,True,CellChatDB:30120235,30120235,generic,generic,True,False,CellChatDB,True,False,post_translational,O00182,P08575
LGALS1,PTPRC,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,4,9,False,4,,CellCellInteractions;HGNC;Surfaceome;OmniPath,,protein,protein,False,False,4,2,4,ligand,receptor,False,False,False,True,False,True,CellTalkDB:10369126;HPRD:10490978;LRdb:10369126;connectomeDB2020:10369126,10369126;10490978,generic,generic,True,False,CellTalkDB;HPRD;LRdb;connectomeDB2020,True,False,post_translational,P09382,P08575
NID1,PTPRF,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,14,True,4,,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;OmniPath,,protein,protein,False,True,9,1,13,ligand,receptor,False,False,False,True,False,True,Baccin2019:9647658;CellTalkDB:9647658;LRdb:9647658;connectomeDB2020:9647658,9647658,generic,generic,True,False,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P14543,P10586
CD80,CTLA4,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,3,7,True,15,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,13,10,14,ligand,receptor,False,False,True,True,False,True,BioGRID:11279502;CellChatDB:23954143;HPRD:7545666;ICELLNET:10583602;InnateDB:21422170;IntAct:11279502;IntAct:20587542;IntAct:21982860;LRdb:22437870;Lit-BM-17:11279502;Lit-BM-17:21982860;Lit-BM-17:7545666;NetPath:11279501;connectomeDB2020:17953528;connectomeDB2020:23954143,10583602;11279501;11279502;17953528;20587542;21422170;21982860;22437870;23954143;7545666,generic,generic,False,False,BioGRID;CellChatDB;HPRD;ICELLNET;InnateDB;IntAct;LRdb;Lit-BM-17;NetPath;Reactome_ICELLNET;Wang;Wojtowicz2020;connectomeDB2020;iTALK,True,False,post_translational,P33681,P16410
CD8A,LAT,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,1,1,True,2,,connectomeDB2020;CellCellInteractions;CellPhoneDB;GO_Intercell;CellChatDB;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,3,1,3,ligand,receptor,False,False,True,True,False,True,HPRD:10562325;NetPath:10562325,10562325,generic,generic,True,False,HPRD;NetPath;Wang,True,False,post_translational,P01732,O43561
TLN1,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,1,16,True,12,talklr;connectomeDB2020;Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;CellChatDB;CellTalkDB;Ramilowski2015;DGIdb;LRdb;Baccin2019;OmniPath,GO_Intercell;OmniPath,,protein,protein,False,True,7,7,7,ligand,receptor,False,False,False,True,False,True,Adhesome:10497223;Adhesome:11279249;Adhesome:12606711;Adhesome:21947080;Adhesome:3124107;Adhesome:7716514;BioGRID:11279249;CA1:3124107;CA1:7716514;ELM:12606711;HPRD:11279249;SPIKE:19118212,10497223;11279249;12606711;19118212;21947080;3124107;7716514,generic,generic,False,False,Adhesome;BioGRID;CA1;ELM;HPRD;SPIKE;Wang,True,False,post_translational,Q9Y490,P05556
CSF2,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,17,16,False,1,,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,,protein,protein,False,False,4,1,6,ligand,receptor,False,False,False,True,False,True,CellTalkDB:32196115,32196115,generic,generic,True,False,CellTalkDB;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,True,False,post_translational,P04141,P05556
HGF,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,16,16,False,1,,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;OmniPath,,protein,protein,False,False,2,1,3,ligand,receptor,False,False,False,True,False,True,CellTalkDB:32196115,32196115,generic,generic,True,False,CellTalkDB;LRdb;Reactome_LRdb,True,False,post_translational,P14210,P05556
ANGPT1,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,14,16,False,4,,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,False,8,4,10,ligand,receptor,False,False,False,True,False,True,Baccin2019:11346644;CellTalkDB:15781448;connectomeDB2020:15690488;connectomeDB2020:19379779,11346644;15690488;15781448;19379779,generic,generic,True,False,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,Q15389,P05556
MDK,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,15,16,False,2,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,6,2,8,ligand,receptor,False,False,False,True,False,True,CellTalkDB:32196115;connectomeDB2020:15466886,15466886;32196115,generic,generic,True,False,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;connectomeDB2020;iTALK;talklr,True,False,post_translational,P21741,P05556
FLT4,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,1,16,False,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,2,1,2,ligand,receptor,False,False,True,True,False,True,HPRD:11553610,11553610,generic,generic,True,False,HPRD;PhosphoPoint,True,False,post_translational,P35916,P05556
CXCL12,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,18,16,False,5,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,7,1,8,ligand,receptor,False,False,False,True,False,True,CellTalkDB:18448868;LRdb:18448868;Ramilowski2015:18448868;connectomeDB2020:18448868;talklr:18448868,18448868,generic,generic,True,False,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,True,False,post_translational,P48061,P05556
VEGFD,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,13,16,False,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,4,1,6,ligand,receptor,False,False,False,True,False,True,CellTalkDB:15590642,15590642,generic,generic,True,False,CellTalkDB;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,True,False,post_translational,O43915,P05556
RELN,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,True,9,16,False,5,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,True,False,8,2,11,ligand,receptor,False,False,False,True,False,True,CA1:10725376;CA1:10939329;CellTalkDB:10939329;LRdb:10939329;connectomeDB2020:10939329,10725376;10939329,generic,generic,True,False,CA1;CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,True,False,post_translational,P78509,P05556
VTN,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,11,16,True,2,,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,7,2,10,ligand,receptor,False,False,False,True,False,True,CA1:7716514;CellTalkDB:32196115,32196115;7716514,generic,generic,True,False,CA1;CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Reactome_LRdb;STRING_talklr;Wang;iTALK;talklr,True,False,post_translational,P04004,P05556
SEMA7A,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,9,16,True,5,,Almen2009;CellCellInteractions;HGNC;HPMR;Surfaceome;OmniPath,,protein,protein,False,True,7,1,10,ligand,receptor,True,False,True,True,False,True,CellTalkDB:7377534;LRdb:7377534;Ramilowski2015:7377534;connectomeDB2020:7377534;talklr:7377534,7377534,generic,generic,False,False,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Reactome_LRdb;STRING_talklr;connectomeDB2020;iTALK;talklr,True,False,post_translational,O75326,P05556
THBS1,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,7,16,True,5,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,7,1,10,ligand,receptor,False,False,False,True,False,True,CellTalkDB:15292271;LRdb:15292271;Ramilowski2015:15292271;connectomeDB2020:15292271;talklr:15292271,15292271,generic,generic,True,False,CellTalkDB;Fantom5_LRdb;LRdb;Ramilowski2015;Reactome_LRdb;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P07996,P05556
THBS2,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,8,16,True,5,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,8,1,10,ligand,receptor,False,False,False,True,False,True,CellTalkDB:15292271;LRdb:15292271;Ramilowski2015:15292271;connectomeDB2020:15292271;talklr:15292271,15292271,generic,generic,True,False,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,True,False,post_translational,P35442,P05556
VWF,ITGB1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,16,True,0,,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,,1,ligand,receptor,False,False,False,True,False,True,,,generic,generic,True,False,Wang,True,False,post_translational,P04275,P05556
