cluster_1,,immune,immune,stroma,stroma
KDR,CSF2RB,,,,
TSLP,IL7R,,,,
IL7,IL7R,,,,
IL6,IL2RB,,,0.0,
IL2,IL2RB,,,,
IL1RN,IL2RB,,,,
CD8A,IL2RB,0.0,,,
IGF1,KDR,,,,
IL6,KDR,,,,
EGF,KDR,,,,
NGF,KDR,,,,
CSF1,KDR,,,,
HGF,KDR,,,,
AREG,KDR,,,,
PDGFA,KDR,,,,
PDGFB,KDR,,,,
ANGPT2,KDR,,,,
ANGPT1,KDR,,,,
ANGPT4,KDR,,,,
FLT4,KDR,,,,
BDNF,KDR,,,,
EREG,KDR,,,,
VEGFD,KDR,,,,
PTHLH,KDR,,,,
VTN,KDR,,,,
FGF5,KDR,,,,
FGF23,KDR,,,,
PGF,KDR,,,,
GREM1,KDR,,,,
NRP1,KDR,,,,
MDK,PTPRZ1,,,,
PTN,PTPRZ1,,,,
L1CAM,PTPRZ1,,,,
TNC,PTPRZ1,,,,
HGF,CD44,,,,
TNF,CD44,,,,
HBEGF,CD44,,,,
LGALS9,CD44,,,,
VCAN,CD44,,,,
LAMB1,CD44,,,,
LAMA4,CD44,,,,
LAMC2,CD44,,,,
COL6A3,CD44,,,,
LAMA3,CD44,,,,
LAMC3,CD44,,,,
SPP1,CD44,,,,
LAMA2,CD44,,,,
PRG4,CD44,,,,
COL6A5,CD44,,,,
COL6A6,CD44,,,,
RELN,ITGB6,,,,
VTN,ITGB6,,,,
THBS1,ITGB6,,,,
THBS2,ITGB6,,,,
VWF,ITGB6,,,,
LAMB1,ITGB6,,,,
LAMA4,ITGB6,,,,
LAMC2,ITGB6,,,,
TNC,ITGB6,,,,
COL6A3,ITGB6,,,,
LAMA3,ITGB6,,,,
LAMC3,ITGB6,,,,
SPP1,ITGB6,,,,
LAMA2,ITGB6,,,,
CHAD,ITGB6,,,,
COL6A6,ITGB6,,,,
THBS4,ITGB6,,,,
IGF1,EPHB1,,,,
EGF,EPHB1,,,,
NGF,EPHB1,,,,
CSF1,EPHB1,,,,
HGF,EPHB1,,,,
AREG,EPHB1,,,,
PDGFA,EPHB1,,,,
PDGFB,EPHB1,,,,
EFNB3,EPHB1,,,,
ANGPT2,EPHB1,,,,
ANGPT1,EPHB1,,,,
ANGPT4,EPHB1,,,,
BDNF,EPHB1,,,,
EREG,EPHB1,,,,
VEGFD,EPHB1,,,,
FGF5,EPHB1,,,,
FGF23,EPHB1,,,,
PGF,EPHB1,,,,
IGF1,EPHA2,,,0.0,
EGF,EPHA2,,,,
NGF,EPHA2,0.0,,,
CSF1,EPHA2,,,0.0,
HGF,EPHA2,,,0.0,
TNF,EPHA2,,,,
AREG,EPHA2,0.0,,,
PDGFA,EPHA2,,,0.0,
PDGFB,EPHA2,,,,
ANGPT2,EPHA2,,,0.6059449541284403,
ANGPT1,EPHA2,,,0.0,
ANGPT4,EPHA2,,,0.0,
BDNF,EPHA2,,,0.0,
EREG,EPHA2,1.0,,0.01476923076923077,
VEGFD,EPHA2,,,0.0,
FGF5,EPHA2,,,,
FGF23,EPHA2,,,,
PGF,EPHA2,,,0.0,
TLN1,ITGB5,,,,0.0
RELN,ITGB5,,,,0.0
VTN,ITGB5,,,,0.0
THBS1,ITGB5,,0.0,,0.0
THBS2,ITGB5,,,,0.0
VWF,ITGB5,,,,
LAMB1,ITGB5,,,,0.0
LAMA4,ITGB5,,,,0.0
LAMC2,ITGB5,,0.0,,
TNC,ITGB5,,,,0.0
COL6A3,ITGB5,,,,0.0
LAMA3,ITGB5,,0.0,,
LAMC3,ITGB5,,,,0.0
SPP1,ITGB5,,0.0,,
CYR61,ITGB5,,0.0,,0.013053824362606232
LAMA2,ITGB5,,,,0.0
EDIL3,ITGB5,,,,
CHAD,ITGB5,,,,
COL6A6,ITGB5,,,,0.0
THBS4,ITGB5,,,,
IGF1,FGFR1,,,,0.0
EGF,FGFR1,,,,
NGF,FGFR1,,0.0,,
CSF1,FGFR1,,,,0.0
HGF,FGFR1,,,,0.0
AREG,FGFR1,,0.0,,
PDGFA,FGFR1,,,,0.0
PDGFB,FGFR1,,,,
ANGPT2,FGFR1,,,,0.0
ANGPT1,FGFR1,,,,0.0
ANGPT4,FGFR1,,,,0.0
BDNF,FGFR1,,,,0.0
EREG,FGFR1,,0.0,,0.0
VEGFD,FGFR1,,,,0.0
FGF5,FGFR1,,,,
FGF23,FGFR1,,,,
PGF,FGFR1,,,,0.0
IGF1,FGFR4,,,,0.0
EGF,FGFR4,,,,
NGF,FGFR4,,0.5306181818181819,,
CSF1,FGFR4,,,,0.0
HGF,FGFR4,,,,0.0
AREG,FGFR4,,0.5306181818181819,,
PDGFA,FGFR4,,,,0.0
PDGFB,FGFR4,,,,
ANGPT2,FGFR4,,,,0.021573033707865168
ANGPT1,FGFR4,,,,0.0
ANGPT4,FGFR4,,,,0.0
BDNF,FGFR4,,,,0.0
EREG,FGFR4,,0.5306181818181819,,0.0
VEGFD,FGFR4,,,,0.0
FGF5,FGFR4,,,,
FGF23,FGFR4,,,,
PGF,FGFR4,,,,0.0
PDGFA,FURIN,,,,
IGF1,FLT4,,,,
EGF,FLT4,,,,
NGF,FLT4,,,,
CSF1,FLT4,,,,
HGF,FLT4,,,,
TNF,FLT4,,,,
AREG,FLT4,,,,
PDGFA,FLT4,,,,
PDGFB,FLT4,,,,
ANGPT2,FLT4,,,,
ANGPT1,FLT4,,,,
ANGPT4,FLT4,,,,
KDR,FLT4,,,,
BDNF,FLT4,,,,
EREG,FLT4,,,,
VEGFD,FLT4,,,,
VTN,FLT4,,,,
FGF5,FLT4,,,,
FGF23,FLT4,,,,
PGF,FLT4,,,,
IL6,NOTCH3,,,,0.0
DLL4,NOTCH3,,,,
THBS2,NOTCH3,,,,0.0
DLK1,NOTCH3,,,,
SCGB3A1,NOTCH3,,,,
IGF1,TIE1,,,,
EGF,TIE1,,,,
NGF,TIE1,,,,
CSF1,TIE1,,,,
HGF,TIE1,,,,
AREG,TIE1,,,,
PDGFA,TIE1,,,,
PDGFB,TIE1,,,,
ANGPT2,TIE1,,,,
ANGPT1,TIE1,,,,
ANGPT4,TIE1,,,,
BDNF,TIE1,,,,
EREG,TIE1,,,,
VEGFD,TIE1,,,,
FGF5,TIE1,,,,
FGF23,TIE1,,,,
PGF,TIE1,,,,
ANGPTL4,TIE1,,,,
IGF1,AXL,,,,0.0
EGF,AXL,,,,
NGF,AXL,,0.0,,
CSF1,AXL,,,,0.0
HGF,AXL,,,,0.0
AREG,AXL,,0.0,,
PDGFA,AXL,,,,0.0
PDGFB,AXL,,,,
ANGPT2,AXL,,,,0.0
ANGPT1,AXL,,,,0.0
ANGPT4,AXL,,,,0.0
GAS6,AXL,,,,0.0
BDNF,AXL,,,,0.0
EREG,AXL,,0.0,,0.0
VEGFD,AXL,,,,0.0
FGF5,AXL,,,,
FGF23,AXL,,,,
PGF,AXL,,,,0.0
IGF1,EPHA7,,,,0.0
WNT5A,EPHA7,,,,0.0
EGF,EPHA7,,,,
NGF,EPHA7,,0.0,,
CSF1,EPHA7,,,,0.0
HGF,EPHA7,,,,0.0
AREG,EPHA7,,0.0,,
PDGFA,EPHA7,,,,0.0
PDGFB,EPHA7,,,,
ANGPT2,EPHA7,,,,0.0
ANGPT1,EPHA7,,,,0.0
ANGPT4,EPHA7,,,,0.0
BDNF,EPHA7,,,,0.0
AFDN,EPHA7,,,,
EREG,EPHA7,,0.0,,0.0
VEGFD,EPHA7,,,,0.0
FGF5,EPHA7,,,,
FGF23,EPHA7,,,,
PGF,EPHA7,,,,0.0
IGF1,EPHA5,,,,0.0
EGF,EPHA5,,,,
NGF,EPHA5,,0.0,,
CSF1,EPHA5,,,,0.0
HGF,EPHA5,,,,0.0
AREG,EPHA5,,0.0,,
PDGFA,EPHA5,,,,0.0
PDGFB,EPHA5,,,,
ANGPT2,EPHA5,,,,0.0
ANGPT1,EPHA5,,,,0.0
ANGPT4,EPHA5,,,,0.0
BDNF,EPHA5,,,,0.0
EREG,EPHA5,,0.0,,0.0
VEGFD,EPHA5,,,,0.0
FGF5,EPHA5,,,,
FGF23,EPHA5,,,,
PGF,EPHA5,,,,0.0
IGF1,INSRR,,,,0.0
EGF,INSRR,,,,
NGF,INSRR,,0.7150344827586207,,
CSF1,INSRR,,,,0.0
HGF,INSRR,,,,0.0
AREG,INSRR,,0.7150344827586207,,
PDGFA,INSRR,,,,0.0
PDGFB,INSRR,,,,
ANGPT2,INSRR,,,,0.02581512605042017
ANGPT1,INSRR,,,,0.0
ANGPT4,INSRR,,,,0.0
BDNF,INSRR,,,,0.0
EREG,INSRR,,0.7150344827586207,,0.0
VEGFD,INSRR,,,,0.0
FGF5,INSRR,,,,
FGF23,INSRR,,,,
PGF,INSRR,,,,0.0
IGF1,PDGFRA,,,,0.0
EGF,PDGFRA,,,,
NGF,PDGFRA,,0.0,,
CSF1,PDGFRA,,,,0.0
HGF,PDGFRA,,,,0.0
AREG,PDGFRA,,0.0,,
PDGFA,PDGFRA,,,,0.0
PDGFB,PDGFRA,,,,
ANGPT2,PDGFRA,,,,0.0
ANGPT1,PDGFRA,,,,0.0
ANGPT4,PDGFRA,,,,0.0
BDNF,PDGFRA,,,,0.0
EREG,PDGFRA,,0.0,,0.0
VEGFD,PDGFRA,,,,0.0
FGF5,PDGFRA,,,,
FGF23,PDGFRA,,,,
PGF,PDGFRA,,,,0.0
IGF1,CSF1R,,,,
EGF,CSF1R,,,,
NGF,CSF1R,,,,
CSF1,CSF1R,,,,
CSF3,CSF1R,,,,
CSF2,CSF1R,,,,
HGF,CSF1R,,,,
AREG,CSF1R,,,,
PDGFA,CSF1R,,,,
PDGFB,CSF1R,,,,
ANGPT2,CSF1R,,,,
ANGPT1,CSF1R,,,,
ANGPT4,CSF1R,,,,
BDNF,CSF1R,,,,
EREG,CSF1R,,,,
VEGFD,CSF1R,,,,
FGF5,CSF1R,,,,
FGF23,CSF1R,,,,
PGF,CSF1R,,,,
IGF1,DDR2,,,,0.0
EGF,DDR2,,,,
NGF,DDR2,,0.0,,
CSF1,DDR2,,,,0.0
HGF,DDR2,,,,0.0
AREG,DDR2,,0.0,,
PDGFA,DDR2,,,,0.0
PDGFB,DDR2,,,,
ANGPT2,DDR2,,,,0.0
ANGPT1,DDR2,,,,0.0
ANGPT4,DDR2,,,,0.0
BDNF,DDR2,,,,0.0
EREG,DDR2,,0.0,,0.0
VEGFD,DDR2,,,,0.0
FGF5,DDR2,,,,
FGF23,DDR2,,,,
PGF,DDR2,,,,0.0
IGF1,RET,,,,
EGF,RET,,,,
NGF,RET,,,,
CSF1,RET,,,,
HGF,RET,,,,
AREG,RET,,,,
PDGFA,RET,,,,
PDGFB,RET,,,,
ANGPT2,RET,,,,
ANGPT1,RET,,,,
ANGPT4,RET,,,,
GDNF,RET,,,,
BDNF,RET,,,,
AGT,RET,,,,
EREG,RET,,,,
VEGFD,RET,,,,
GDF15,RET,,,,
FGFR4,RET,,,,
FGF5,RET,,,,
FGF23,RET,,,,
PGF,RET,,,,
LGALS1,RET,,,,
IGF1,FLT1,,,,
EGF,FLT1,,,,
NGF,FLT1,,,,
CSF1,FLT1,,,,
CSF2,FLT1,,,,
HGF,FLT1,,,,
AREG,FLT1,,,,
PDGFA,FLT1,,,,
PDGFB,FLT1,,,,
ANGPT2,FLT1,,,,
ANGPT1,FLT1,,,,
ANGPT4,FLT1,,,,
KDR,FLT1,,,,
FLT4,FLT1,,,,
BDNF,FLT1,,,,
EREG,FLT1,,,,
VEGFD,FLT1,,,,
FGF5,FLT1,,,,
FGF23,FLT1,,,,
PGF,FLT1,,,,
TNF,TRPM2,,,,
EGF,HSP90AB1,,,,
IL4,LGALS3,,,,
MUC1,LGALS3,0.0,,,
CSF2,LGALS3,,,,
TNF,NR3C1,,,,
RLN1,NR3C1,,,0.05851428571428571,
GC,NR3C1,,,,
HGF,THBS1,,,0.0,0.0
IL18,THBS1,,,,
VWF,THBS1,,,,
IGF1,ITGAV,,,,0.0
NRG1,ITGAV,,,,0.0
PTN,ITGAV,,,,0.0
L1CAM,ITGAV,,,,
VTN,ITGAV,,,,0.0
THBS1,ITGAV,,0.05742056074766356,,0.0
THBS2,ITGAV,,,,0.0
CTGF,ITGAV,,,,0.0
VWF,ITGAV,,,,
PECAM1,ITGAV,,,,
TNC,ITGAV,,,,0.0
MFGE8,ITGAV,,0.05742056074766356,,0.0
ANGPTL4,ITGAV,,,,0.0
DMP1,ITGAV,,,,
ICAM4,ITGAV,,,,0.0
SPP1,ITGAV,,0.0447378640776699,,
CYR61,ITGAV,,0.0447378640776699,,0.2819506849315069
EDIL3,ITGAV,,,,
POSTN,ITGAV,,,,0.0
THBS4,ITGAV,,,,
CCL2,CCR2,,,,
CXCL9,CCR2,,,,
CCL5,CCR2,,,,
CCL8,CCR2,,,,
CCL4,CCR2,,,,
CD40LG,CCR2,,,,
CXCL10,CCR2,,,,
CXCL12,CCR2,,,,
CCL3,CCR2,,,,
CCL7,CCR2,,,,
CCL11,CCR2,,,,
CCL24,CCR2,,,,
CCL17,CCR2,,,,
CCL22,CCR2,,,,
CCL20,CCR2,,,,
CCL1,CCR2,,,,
CXCL1,CCR2,,,,
CXCL2,CCR2,,,,
CXCL3,CCR2,,,,
CXCL5,CCR2,,,,
PPBP,CCR2,,,,
CXCL13,CCR2,,,,
XCL1,CCR2,,,,
PF4,CCR2,,,,
CXCL14,CCR2,,,,
CYTL1,CCR2,,,,
MSMP,CCR2,,,,
CCL2,CCR3,,,,
CXCL9,CCR3,,,,
CCL5,CCR3,,,,
CCL8,CCR3,,,,
CCL4,CCR3,,,,
IL4,CCR3,,,,
CXCL10,CCR3,,,,
IL2,CCR3,,,,
CXCL12,CCR3,,,,
CCL3,CCR3,,,,
CCL7,CCR3,,,,
CCL11,CCR3,,,,
CCL24,CCR3,,,,
CCL17,CCR3,,,,
CCL22,CCR3,,,,
CCL20,CCR3,,,,
CCL1,CCR3,,,,
CXCL1,CCR3,,,,
CXCL2,CCR3,,,,
CXCL3,CCR3,,,,
CXCL5,CCR3,,,,
PPBP,CCR3,,,,
CXCL13,CCR3,,,,
XCL1,CCR3,,,,
PF4,CCR3,,,,
CXCL14,CCR3,,,,
CCL2,CCR5,,,0.0,
CXCL9,CCR5,1.0,,0.0,
CCL5,CCR5,0.0,,,
CCL8,CCR5,0.0,,1.0,
CCL4,CCR5,,,,
CXCL10,CCR5,1.0,,0.0,
IL2,CCR5,,,,
IL12A,CCR5,,,,
CXCL12,CCR5,,,0.0,
CCL3,CCR5,,,,
CCL7,CCR5,,,0.0,
CCL11,CCR5,,,0.0,
CCL24,CCR5,,,,
CCL17,CCR5,0.0,,,
CCL22,CCR5,0.0,,,
CCL20,CCR5,,,,
CCL1,CCR5,0.0,,,
CXCL1,CCR5,,,0.0,
CXCL2,CCR5,,,,
CXCL3,CCR5,,,,
CXCL5,CCR5,0.0,,,
PPBP,CCR5,0.0,,,
CXCL13,CCR5,0.0,,1.0,
IL12B,CCR5,0.0,,,
IL18,CCR5,,,,
XCL1,CCR5,0.0,,,
ORM1,CCR5,0.0,,,
PF4,CCR5,,,,
CXCL14,CCR5,,,0.0,
S100A4,CCR5,0.0,,,
CCL2,CCR1,,,,
IL10,CCR1,,,,
CXCL9,CCR1,,,,
CCL5,CCR1,,,,
CCL8,CCR1,,,,
CCL4,CCR1,,,,
CXCL10,CCR1,,,,
CSF2,CCR1,,,,
CXCL12,CCR1,,,,
CCL3,CCR1,,,,
CCL7,CCR1,,,,
CCL11,CCR1,,,,
CCL24,CCR1,,,,
CCL17,CCR1,,,,
CCL22,CCR1,,,,
CCL20,CCR1,,,,
CCL1,CCR1,,,,
CXCL1,CCR1,,,,
CXCL2,CCR1,,,,
CXCL3,CCR1,,,,
CXCL5,CCR1,,,,
PPBP,CCR1,,,,
CXCL13,CCR1,,,,
XCL1,CCR1,,,,
PF4,CCR1,,,,
CXCL14,CCR1,,,,
CCL2,ACKR1,,,,
CXCL9,ACKR1,,,,
CCL5,ACKR1,,,,
CCL8,ACKR1,,,,
CXCL10,ACKR1,,,,
CCL7,ACKR1,,,,
CCL11,ACKR1,,,,
CCL17,ACKR1,,,,
CCL22,ACKR1,,,,
CCL1,ACKR1,,,,
CXCL1,ACKR1,,,,
CXCL2,ACKR1,,,,
CXCL3,ACKR1,,,,
CXCL5,ACKR1,,,,
PPBP,ACKR1,,,,
CXCL13,ACKR1,,,,
PF4,ACKR1,,,,
CCL2,ACKR2,,,,
CCL5,ACKR2,,,,
CCL8,ACKR2,,,,
CCL4,ACKR2,,,,
CCL3,ACKR2,,,,
CCL7,ACKR2,,,,
CCL11,ACKR2,,,,
CCL24,ACKR2,,,,
CCL17,ACKR2,,,,
CCL22,ACKR2,,,,
CCL2,CXCR1,,,,
CXCL9,CXCR1,,,,
CCL5,CXCR1,,,,
CCL8,CXCR1,,,,
CCL4,CXCR1,,,,
CXCL10,CXCR1,,,,
CXCL12,CXCR1,,,,
CCL3,CXCR1,,,,
CCL7,CXCR1,,,,
CCL11,CXCR1,,,,
CCL24,CXCR1,,,,
CCL17,CXCR1,,,,
CCL22,CXCR1,,,,
CCL20,CXCR1,,,,
CCL1,CXCR1,,,,
CXCL1,CXCR1,,,,
CXCL2,CXCR1,,,,
CXCL3,CXCR1,,,,
CXCL5,CXCR1,,,,
PPBP,CXCR1,,,,
CXCL13,CXCR1,,,,
XCL1,CXCR1,,,,
PF4,CXCR1,,,,
CXCL14,CXCR1,,,,
CCL2,TNF,,,,
IFNG,TNF,,,,
CSF1,TNF,,,,
CSF3,TNF,,,,
CSF2,TNF,,,,
HGF,TNF,,,,
ANGPT1,TNF,,,,
IL12B,TNF,,,,
IL17A,TNF,,,,
ADIPOQ,TNF,,,,
S100B,TNF,,,,
STC1,TNF,,,,
CCL2,CXCR6,,,0.0,
CXCL9,CXCR6,1.0,,0.0,
CCL5,CXCR6,0.0,,,
CCL8,CXCR6,0.0,,1.0,
CCL4,CXCR6,,,,
CXCL10,CXCR6,1.0,,0.0,
CXCL12,CXCR6,,,0.0,
CCL3,CXCR6,,,,
CCL7,CXCR6,,,0.0,
CCL11,CXCR6,,,0.0,
CCL24,CXCR6,,,,
CCL17,CXCR6,0.0,,,
CCL22,CXCR6,0.0,,,
CCL20,CXCR6,,,,
CCL1,CXCR6,0.0,,,
CXCL1,CXCR6,,,0.0,
CXCL2,CXCR6,,,,
CXCL3,CXCR6,,,,
CXCL5,CXCR6,0.0,,,
PPBP,CXCR6,0.0,,,
CXCL13,CXCR6,0.0,,1.0,
XCL1,CXCR6,0.0,,,
PF4,CXCR6,,,,
CXCL14,CXCR6,,,0.0,
CCL2,F3,,,0.0,
IL10,F3,,,,
IL6,F3,,,0.0,
CD40LG,F3,0.0,,,
HGF,F3,,,0.0,
TNF,F3,,,,
OSM,F3,,,,
SAA1,F3,,,,
SST,F3,,,0.13041509433962262,
ADIPOQ,F3,,,,
ORM1,F3,0.0,,,
CCL2,CCR6,,,,
IFNG,CCR6,,,,
CXCL9,CCR6,,,,
CCL5,CCR6,,,,
CCL8,CCR6,,,,
CCL4,CCR6,,,,
CXCL10,CCR6,,,,
CXCL12,CCR6,,,,
CCL3,CCR6,,,,
CCL7,CCR6,,,,
CCL11,CCR6,,,,
CCL24,CCR6,,,,
CCL17,CCR6,,,,
CCL22,CCR6,,,,
CCL20,CCR6,,,,
CCL1,CCR6,,,,
CXCL1,CCR6,,,,
CXCL2,CCR6,,,,
CXCL3,CCR6,,,,
CXCL5,CCR6,,,,
PPBP,CCR6,,,,
CXCL13,CCR6,,,,
XCL1,CCR6,,,,
PF4,CCR6,,,,
DEFB1,CCR6,,,,
CXCL14,CCR6,,,,
CCL2,CXCR4,,,0.0,
KIT,CXCR4,0.0,,,
CXCL9,CXCR4,1.0,,0.0,
CCL5,CXCR4,0.0,,,
CCL8,CXCR4,0.0,,1.0,
IL4,CXCR4,,,,
CXCL10,CXCR4,1.0,,0.0,
CXCL12,CXCR4,,,0.0,
AGT,CXCR4,,,0.0,
CCL3,CXCR4,,,,
CCL7,CXCR4,,,0.0,
CCL24,CXCR4,,,,
CCL17,CXCR4,0.0,,,
CCL22,CXCR4,0.0,,,
CCL20,CXCR4,,,,
CCL1,CXCR4,0.0,,,
CXCL1,CXCR4,,,0.0,
CXCL2,CXCR4,,,,
CXCL3,CXCR4,,,,
CXCL5,CXCR4,0.0,,,
PPBP,CXCR4,0.0,,,
CXCL13,CXCR4,0.0,,1.0,
XCL1,CXCR4,0.0,,,
TFF2,CXCR4,,,,
PF4,CXCR4,,,,
CXCL14,CXCR4,,,0.0,
TFF3,CXCR4,,,,
CCL2,CX3CR1,,,,
CXCL9,CX3CR1,,,,
CCL5,CX3CR1,,,,
CCL8,CX3CR1,,,,
CCL4,CX3CR1,,,,
CXCL10,CX3CR1,,,,
CXCL12,CX3CR1,,,,
CCL3,CX3CR1,,,,
CCL7,CX3CR1,,,,
CCL11,CX3CR1,,,,
CCL24,CX3CR1,,,,
CCL17,CX3CR1,,,,
CCL22,CX3CR1,,,,
CCL20,CX3CR1,,,,
CCL1,CX3CR1,,,,
CXCL1,CX3CR1,,,,
CXCL2,CX3CR1,,,,
CXCL3,CX3CR1,,,,
CXCL5,CX3CR1,,,,
PPBP,CX3CR1,,,,
CXCL13,CX3CR1,,,,
XCL1,CX3CR1,,,,
PF4,CX3CR1,,,,
CXCL14,CX3CR1,,,,
CCL2,CCR7,,,0.0,
CXCL9,CCR7,1.0,,0.0,
CCL5,CCR7,0.0,,,
CCL8,CCR7,0.0,,1.0,
CCL4,CCR7,,,,
IL6,CCR7,,,0.0,
CXCL10,CCR7,1.0,,0.0,
CXCL12,CCR7,,,0.0,
CCL3,CCR7,,,,
CCL7,CCR7,,,0.0,
CCL11,CCR7,,,0.0,
CCL24,CCR7,,,,
CCL17,CCR7,0.0,,,
CCL22,CCR7,0.0,,,
CCL20,CCR7,,,,
CCL1,CCR7,0.0,,,
CXCL1,CCR7,,,0.0,
CXCL2,CCR7,,,,
CXCL3,CCR7,,,,
CXCL5,CCR7,0.0,,,
PPBP,CCR7,0.0,,,
CXCL13,CCR7,0.036571428571428574,,1.0,
XCL1,CCR7,0.0,,,
PF4,CCR7,,,,
CXCL14,CCR7,,,0.0,
CCL2,XCR1,,,,
CXCL9,XCR1,,,,
CCL5,XCR1,,,,
CCL8,XCR1,,,,
CCL4,XCR1,,,,
CXCL10,XCR1,,,,
CXCL12,XCR1,,,,
CCL3,XCR1,,,,
CCL7,XCR1,,,,
CCL11,XCR1,,,,
CCL24,XCR1,,,,
CCL17,XCR1,,,,
CCL22,XCR1,,,,
CCL20,XCR1,,,,
CCL1,XCR1,,,,
CXCL1,XCR1,,,,
CXCL2,XCR1,,,,
CXCL3,XCR1,,,,
CXCL5,XCR1,,,,
PPBP,XCR1,,,,
CXCL13,XCR1,,,,
XCL1,XCR1,,,,
PF4,XCR1,,,,
CXCL14,XCR1,,,,
CCL2,CXCR2,,,,
CXCL9,CXCR2,,,,
CCL5,CXCR2,,,,
CCL8,CXCR2,,,,
CCL4,CXCR2,,,,
CXCL10,CXCR2,,,,
CXCL12,CXCR2,,,,
CCL3,CXCR2,,,,
CCL7,CXCR2,,,,
